Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Año;Total
Total Nacional;07 Castilla y León;49 Zamora;4 personas;2021;9.437
Total Nacional;07 Castilla y León;49 Zamora;4 personas;2020;9.708
Total Nacional;07 Castilla y León;49 Zamora;5 personas o más;2023;1.686
Total Nacional;07 Castilla y León;49 Zamora;5 personas o más;2022;1.768
Total Nacional;07 Castilla y León;49 Zamora;5 personas o más;2021;1.854
Total Nacional;07 Castilla y León;49 Zamora;5 personas o más;2020;1.945
Total Nacional;07 Castilla y León;49 Zamora;Tamaño medio;2023;2,18
Total Nacional;07 Castilla y León;49 Zamora;Tamaño medio;2022;2,20
Total Nacional;07 Castilla y León;49 Zamora;Tamaño medio;2021;2,21
Total Nacional;07 Castilla y León;49 Zamora;Tamaño medio;2020;2,23
Total Nacional;08 Castilla - La Mancha;;Total;2023;789.100
Total Nacional;08 Castilla - La Mancha;;Total;2022;787.999
Total Nacional;08 Castilla - La Mancha;;Total;2021;787.033
Total Nacional;08 Castilla - La Mancha;;Total;2020;787.526
Total Nacional;08 Castilla - La Mancha;;1 persona;2023;199.964
Total Nacional;08 Castilla - La Mancha;;1 persona;2022;197.481
Total Nacional;08 Castilla - La Mancha;;1 persona;2021;195.206
Total Nacional;08 Castilla - La Mancha;;1 persona;2020;193.009
Total Nacional;08 Castilla - La Mancha;;2 personas;2023;235.631
Total Nacional;08 Castilla - La Mancha;;2 personas;2022;234.073
Total Nacional;08 Castilla - La Mancha;;2 personas;2021;232.460
Total Nacional;08 Castilla - La Mancha;;2 personas;2020;231.765
Total Nacional;08 Castilla - La Mancha;;3 personas;2023;157.871
Total Nacional;08 Castilla - La Mancha;;3 personas;2022;158.529
Total Nacional;08 Castilla - La Mancha;;3 personas;2021;159.169
Total Nacional;08 Castilla - La Mancha;;3 personas;2020;160.115
Total Nacional;08 Castilla - La Mancha;;4 personas;2023;150.747
Total Nacional;08 Castilla - La Mancha;;4 personas;2022;152.576
Total Nacional;08 Castilla - La Mancha;;4 personas;2021;154.393
Total Nacional;08 Castilla - La Mancha;;4 personas;2020;156.332
Total Nacional;08 Castilla - La Mancha;;5 personas o más;2023;44.887
Total Nacional;08 Castilla - La Mancha;;5 personas o más;2022;45.340
Total Nacional;08 Castilla - La Mancha;;5 personas o más;2021;45.805
Total Nacional;08 Castilla - La Mancha;;5 personas o más;2020;46.305
Total Nacional;08 Castilla - La Mancha;;Tamaño medio;2023;2,53
Total Nacional;08 Castilla - La Mancha;;Tamaño medio;2022;2,54
Total Nacional;08 Castilla - La Mancha;;Tamaño medio;2021;2,55
Total Nacional;08 Castilla - La Mancha;;Tamaño medio;2020;2,56
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total;2023;152.277
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total;2022;152.030
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total;2021;151.821
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total;2020;152.057
Total Nacional;08 Castilla - La Mancha;02 Albacete;1 persona;2023;40.137
Total Nacional;08 Castilla - La Mancha;02 Albacete;1 persona;2022;39.497
Total Nacional;08 Castilla - La Mancha;02 Albacete;1 persona;2021;38.892
Total Nacional;08 Castilla - La Mancha;02 Albacete;1 persona;2020;38.380
Total Nacional;08 Castilla - La Mancha;02 Albacete;2 personas;2023;43.768
Total Nacional;08 Castilla - La Mancha;02 Albacete;2 personas;2022;43.386
Total Nacional;08 Castilla - La Mancha;02 Albacete;2 personas;2021;43.015
Total Nacional;08 Castilla - La Mancha;02 Albacete;2 personas;2020;42.866
Total Nacional;08 Castilla - La Mancha;02 Albacete;3 personas;2023;30.482
Total Nacional;08 Castilla - La Mancha;02 Albacete;3 personas;2022;30.626
Total Nacional;08 Castilla - La Mancha;02 Albacete;3 personas;2021;30.763
Total Nacional;08 Castilla - La Mancha;02 Albacete;3 personas;2020;30.978
Total Nacional;08 Castilla - La Mancha;02 Albacete;4 personas;2023;30.160
Total Nacional;08 Castilla - La Mancha;02 Albacete;4 personas;2022;30.621
Total Nacional;08 Castilla - La Mancha;02 Albacete;4 personas;2021;31.077
Total Nacional;08 Castilla - La Mancha;02 Albacete;4 personas;2020;31.573
Total Nacional;08 Castilla - La Mancha;02 Albacete;5 personas o más;2023;7.730
Total Nacional;08 Castilla - La Mancha;02 Albacete;5 personas o más;2022;7.900
Total Nacional;08 Castilla - La Mancha;02 Albacete;5 personas o más;2021;8.074
Total Nacional;08 Castilla - La Mancha;02 Albacete;5 personas o más;2020;8.260
Total Nacional;08 Castilla - La Mancha;02 Albacete;Tamaño medio;2023;2,49
Total Nacional;08 Castilla - La Mancha;02 Albacete;Tamaño medio;2022;2,51
Total Nacional;08 Castilla - La Mancha;02 Albacete;Tamaño medio;2021;2,52
Total Nacional;08 Castilla - La Mancha;02 Albacete;Tamaño medio;2020;2,54
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total;2023;192.468
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total;2022;192.754
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total;2021;193.029
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total;2020;193.906
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;1 persona;2023;50.977
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;1 persona;2022;50.393
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;1 persona;2021;49.826
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;1 persona;2020;49.324
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2 personas;2023;57.670
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2 personas;2022;57.305
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2 personas;2021;56.854
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2 personas;2020;56.775
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;3 personas;2023;37.453
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;3 personas;2022;37.762
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;3 personas;2021;38.071
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;3 personas;2020;38.491
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;4 personas;2023;36.834
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;4 personas;2022;37.444
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;4 personas;2021;38.092
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;4 personas;2020;38.777
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;5 personas o más;2023;9.534
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;5 personas o más;2022;9.850
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;5 personas o más;2021;10.186
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;5 personas o más;2020;10.539
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Tamaño medio;2023;2,47
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Tamaño medio;2022;2,48
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Tamaño medio;2021;2,50
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Tamaño medio;2020;2,51
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;2023;78.825
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;2022;79.060
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;2021;79.287
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;2020;79.588
Total Nacional;08 Castilla - La Mancha;16 Cuenca;1 persona;2023;21.316
Total Nacional;08 Castilla - La Mancha;16 Cuenca;1 persona;2022;21.181
Total Nacional;08 Castilla - La Mancha;16 Cuenca;1 persona;2021;21.037
Total Nacional;08 Castilla - La Mancha;16 Cuenca;1 persona;2020;20.866
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2 personas;2023;24.498
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2 personas;2022;24.477
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2 personas;2021;24.457
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2 personas;2020;24.481
Total Nacional;08 Castilla - La Mancha;16 Cuenca;3 personas;2023;15.151
Total Nacional;08 Castilla - La Mancha;16 Cuenca;3 personas;2022;15.257
Total Nacional;08 Castilla - La Mancha;16 Cuenca;3 personas;2021;15.365
Total Nacional;08 Castilla - La Mancha;16 Cuenca;3 personas;2020;15.502
Total Nacional;08 Castilla - La Mancha;16 Cuenca;4 personas;2023;13.581
Total Nacional;08 Castilla - La Mancha;16 Cuenca;4 personas;2022;13.817
Total Nacional;08 Castilla - La Mancha;16 Cuenca;4 personas;2021;14.051
Total Nacional;08 Castilla - La Mancha;16 Cuenca;4 personas;2020;14.308
Total Nacional;08 Castilla - La Mancha;16 Cuenca;5 personas o más;2023;4.279
Total Nacional;08 Castilla - La Mancha;16 Cuenca;5 personas o más;2022;4.328
Total Nacional;08 Castilla - La Mancha;16 Cuenca;5 personas o más;2021;4.377
Total Nacional;08 Castilla - La Mancha;16 Cuenca;5 personas o más;2020;4.431
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Tamaño medio;2023;2,43
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Tamaño medio;2022;2,44
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Tamaño medio;2021;2,45
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Tamaño medio;2020;2,46
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total;2023;101.358
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total;2022;100.977
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total;2021;100.637
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total;2020;100.417
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;1 persona;2023;25.737
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;1 persona;2022;25.565
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;1 persona;2021;25.429
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;1 persona;2020;25.314
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2 personas;2023;29.759
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2 personas;2022;29.564
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2 personas;2021;29.396
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2 personas;2020;29.302
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;3 personas;2023;20.749
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;3 personas;2022;20.765
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;3 personas;2021;20.783
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;3 personas;2020;20.819
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;4 personas;2023;18.778
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;4 personas;2022;18.820
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;4 personas;2021;18.845
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;4 personas;2020;18.874
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;5 personas o más;2023;6.335
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;5 personas o más;2022;6.263
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;5 personas o más;2021;6.184
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;5 personas o más;2020;6.108
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Tamaño medio;2023;2,57
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Tamaño medio;2022;2,57
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Tamaño medio;2021;2,57
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Tamaño medio;2020;2,57
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total;2023;264.172
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total;2022;263.178
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total;2021;262.259
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total;2020;261.558
Total Nacional;08 Castilla - La Mancha;45 Toledo;1 persona;2023;61.797
Total Nacional;08 Castilla - La Mancha;45 Toledo;1 persona;2022;60.845
Total Nacional;08 Castilla - La Mancha;45 Toledo;1 persona;2021;60.022
Total Nacional;08 Castilla - La Mancha;45 Toledo;1 persona;2020;59.125
Total Nacional;08 Castilla - La Mancha;45 Toledo;2 personas;2023;79.936
Total Nacional;08 Castilla - La Mancha;45 Toledo;2 personas;2022;79.341
Total Nacional;08 Castilla - La Mancha;45 Toledo;2 personas;2021;78.738
Total Nacional;08 Castilla - La Mancha;45 Toledo;2 personas;2020;78.341
Total Nacional;08 Castilla - La Mancha;45 Toledo;3 personas;2023;54.036
Total Nacional;08 Castilla - La Mancha;45 Toledo;3 personas;2022;54.119
Total Nacional;08 Castilla - La Mancha;45 Toledo;3 personas;2021;54.187
Total Nacional;08 Castilla - La Mancha;45 Toledo;3 personas;2020;54.325
Total Nacional;08 Castilla - La Mancha;45 Toledo;4 personas;2023;51.394
Total Nacional;08 Castilla - La Mancha;45 Toledo;4 personas;2022;51.874
Total Nacional;08 Castilla - La Mancha;45 Toledo;4 personas;2021;52.328
Total Nacional;08 Castilla - La Mancha;45 Toledo;4 personas;2020;52.800
Total Nacional;08 Castilla - La Mancha;45 Toledo;5 personas o más;2023;17.009
Total Nacional;08 Castilla - La Mancha;45 Toledo;5 personas o más;2022;16.999
Total Nacional;08 Castilla - La Mancha;45 Toledo;5 personas o más;2021;16.984
Total Nacional;08 Castilla - La Mancha;45 Toledo;5 personas o más;2020;16.967
Total Nacional;08 Castilla - La Mancha;45 Toledo;Tamaño medio;2023;2,60
Total Nacional;08 Castilla - La Mancha;45 Toledo;Tamaño medio;2022;2,61
Total Nacional;08 Castilla - La Mancha;45 Toledo;Tamaño medio;2021;2,62
Total Nacional;08 Castilla - La Mancha;45 Toledo;Tamaño medio;2020;2,63
Total Nacional;09 Cataluña;;Total;2023;3.051.445
Total Nacional;09 Cataluña;;Total;2022;3.042.310
Total Nacional;09 Cataluña;;Total;2021;3.033.859
Total Nacional;09 Cataluña;;Total;2020;3.028.742
Total Nacional;09 Cataluña;;1 persona;2023;806.307
Total Nacional;09 Cataluña;;1 persona;2022;799.599
Total Nacional;09 Cataluña;;1 persona;2021;793.316
Total Nacional;09 Cataluña;;1 persona;2020;787.706
Total Nacional;09 Cataluña;;2 personas;2023;964.835
Total Nacional;09 Cataluña;;2 personas;2022;960.006
Total Nacional;09 Cataluña;;2 personas;2021;955.507
Total Nacional;09 Cataluña;;2 personas;2020;952.899
Total Nacional;09 Cataluña;;3 personas;2023;597.603
Total Nacional;09 Cataluña;;3 personas;2022;600.673
Total Nacional;09 Cataluña;;3 personas;2021;603.798
Total Nacional;09 Cataluña;;3 personas;2020;607.527
Total Nacional;09 Cataluña;;4 personas;2023;485.472
Total Nacional;09 Cataluña;;4 personas;2022;487.957
Total Nacional;09 Cataluña;;4 personas;2021;490.382
Total Nacional;09 Cataluña;;4 personas;2020;492.968
Total Nacional;09 Cataluña;;5 personas o más;2023;197.228
Total Nacional;09 Cataluña;;5 personas o más;2022;194.075
Total Nacional;09 Cataluña;;5 personas o más;2021;190.856
Total Nacional;09 Cataluña;;5 personas o más;2020;187.642
Total Nacional;09 Cataluña;;Tamaño medio;2023;2,49
Total Nacional;09 Cataluña;;Tamaño medio;2022;2,50
Total Nacional;09 Cataluña;;Tamaño medio;2021;2,50
Total Nacional;09 Cataluña;;Tamaño medio;2020;2,50
Total Nacional;09 Cataluña;08 Barcelona;Total;2023;2.252.769
Total Nacional;09 Cataluña;08 Barcelona;Total;2022;2.246.217
Total Nacional;09 Cataluña;08 Barcelona;Total;2021;2.240.273
Total Nacional;09 Cataluña;08 Barcelona;Total;2020;2.237.361
Total Nacional;09 Cataluña;08 Barcelona;1 persona;2023;600.756
Total Nacional;09 Cataluña;08 Barcelona;1 persona;2022;595.566
Total Nacional;09 Cataluña;08 Barcelona;1 persona;2021;590.718
Total Nacional;09 Cataluña;08 Barcelona;1 persona;2020;586.499
Total Nacional;09 Cataluña;08 Barcelona;2 personas;2023;710.210
Total Nacional;09 Cataluña;08 Barcelona;2 personas;2022;706.877
Total Nacional;09 Cataluña;08 Barcelona;2 personas;2021;703.875
Total Nacional;09 Cataluña;08 Barcelona;2 personas;2020;702.520
Total Nacional;09 Cataluña;08 Barcelona;3 personas;2023;439.678
Total Nacional;09 Cataluña;08 Barcelona;3 personas;2022;442.185
Total Nacional;09 Cataluña;08 Barcelona;3 personas;2021;444.743
Total Nacional;09 Cataluña;08 Barcelona;3 personas;2020;447.859
Total Nacional;09 Cataluña;08 Barcelona;4 personas;2023;359.077
Total Nacional;09 Cataluña;08 Barcelona;4 personas;2022;360.956
Total Nacional;09 Cataluña;08 Barcelona;4 personas;2021;362.772
Total Nacional;09 Cataluña;08 Barcelona;4 personas;2020;364.758
Total Nacional;09 Cataluña;08 Barcelona;5 personas o más;2023;143.048
Total Nacional;09 Cataluña;08 Barcelona;5 personas o más;2022;140.633
Total Nacional;09 Cataluña;08 Barcelona;5 personas o más;2021;138.165
Total Nacional;09 Cataluña;08 Barcelona;5 personas o más;2020;135.725
Total Nacional;09 Cataluña;08 Barcelona;Tamaño medio;2023;2,49
Total Nacional;09 Cataluña;08 Barcelona;Tamaño medio;2022;2,49
Total Nacional;09 Cataluña;08 Barcelona;Tamaño medio;2021;2,49
Total Nacional;09 Cataluña;08 Barcelona;Tamaño medio;2020;2,49
Total Nacional;09 Cataluña;17 Girona;Total;2023;298.115
Total Nacional;09 Cataluña;17 Girona;Total;2022;296.896
Total Nacional;09 Cataluña;17 Girona;Total;2021;295.681
Total Nacional;09 Cataluña;17 Girona;Total;2020;294.591
Total Nacional;09 Cataluña;17 Girona;1 persona;2023;72.768
Total Nacional;09 Cataluña;17 Girona;1 persona;2022;72.069
Total Nacional;09 Cataluña;17 Girona;1 persona;2021;71.380
Total Nacional;09 Cataluña;17 Girona;1 persona;2020;70.683
Total Nacional;09 Cataluña;17 Girona;2 personas;2023;95.412
Total Nacional;09 Cataluña;17 Girona;2 personas;2022;94.846
Total Nacional;09 Cataluña;17 Girona;2 personas;2021;94.280
Total Nacional;09 Cataluña;17 Girona;2 personas;2020;93.801
Total Nacional;09 Cataluña;17 Girona;3 personas;2023;58.343
Total Nacional;09 Cataluña;17 Girona;3 personas;2022;58.530
Total Nacional;09 Cataluña;17 Girona;3 personas;2021;58.715
Total Nacional;09 Cataluña;17 Girona;3 personas;2020;58.932
Total Nacional;09 Cataluña;17 Girona;4 personas;2023;48.844
Total Nacional;09 Cataluña;17 Girona;4 personas;2022;49.043
Total Nacional;09 Cataluña;17 Girona;4 personas;2021;49.241
Total Nacional;09 Cataluña;17 Girona;4 personas;2020;49.452
Total Nacional;09 Cataluña;17 Girona;5 personas o más;2023;22.748
Total Nacional;09 Cataluña;17 Girona;5 personas o más;2022;22.408
Total Nacional;09 Cataluña;17 Girona;5 personas o más;2021;22.065
Total Nacional;09 Cataluña;17 Girona;5 personas o más;2020;21.723
Total Nacional;09 Cataluña;17 Girona;Tamaño medio;2023;2,58
Total Nacional;09 Cataluña;17 Girona;Tamaño medio;2022;2,58
Total Nacional;09 Cataluña;17 Girona;Tamaño medio;2021;2,58
Total Nacional;09 Cataluña;17 Girona;Tamaño medio;2020;2,58
Total Nacional;09 Cataluña;25 Lleida;Total;2023;174.062
Total Nacional;09 Cataluña;25 Lleida;Total;2022;174.466
Total Nacional;09 Cataluña;25 Lleida;Total;2021;174.870
Total Nacional;09 Cataluña;25 Lleida;Total;2020;175.422
Total Nacional;09 Cataluña;25 Lleida;1 persona;2023;47.436
Total Nacional;09 Cataluña;25 Lleida;1 persona;2022;47.780
Total Nacional;09 Cataluña;25 Lleida;1 persona;2021;48.148
Total Nacional;09 Cataluña;25 Lleida;1 persona;2020;48.612
Total Nacional;09 Cataluña;25 Lleida;2 personas;2023;54.432
Total Nacional;09 Cataluña;25 Lleida;2 personas;2022;54.525
Total Nacional;09 Cataluña;25 Lleida;2 personas;2021;54.578
Total Nacional;09 Cataluña;25 Lleida;2 personas;2020;54.726
Total Nacional;09 Cataluña;25 Lleida;3 personas;2023;35.129
Total Nacional;09 Cataluña;25 Lleida;3 personas;2022;35.273
Total Nacional;09 Cataluña;25 Lleida;3 personas;2021;35.416
Total Nacional;09 Cataluña;25 Lleida;3 personas;2020;35.552
Total Nacional;09 Cataluña;25 Lleida;4 personas;2023;26.507
Total Nacional;09 Cataluña;25 Lleida;4 personas;2022;26.540
Total Nacional;09 Cataluña;25 Lleida;4 personas;2021;26.591
Total Nacional;09 Cataluña;25 Lleida;4 personas;2020;26.622
Total Nacional;09 Cataluña;25 Lleida;5 personas o más;2023;10.558
Total Nacional;09 Cataluña;25 Lleida;5 personas o más;2022;10.348
Total Nacional;09 Cataluña;25 Lleida;5 personas o más;2021;10.137
Total Nacional;09 Cataluña;25 Lleida;5 personas o más;2020;9.910
Total Nacional;09 Cataluña;25 Lleida;Tamaño medio;2023;2,46
Total Nacional;09 Cataluña;25 Lleida;Tamaño medio;2022;2,45
Total Nacional;09 Cataluña;25 Lleida;Tamaño medio;2021;2,45
Total Nacional;09 Cataluña;25 Lleida;Tamaño medio;2020;2,44
Total Nacional;09 Cataluña;43 Tarragona;Total;2023;326.499
Total Nacional;09 Cataluña;43 Tarragona;Total;2022;324.731
Total Nacional;09 Cataluña;43 Tarragona;Total;2021;323.035
Total Nacional;09 Cataluña;43 Tarragona;Total;2020;321.368
Total Nacional;09 Cataluña;43 Tarragona;1 persona;2023;85.347
Total Nacional;09 Cataluña;43 Tarragona;1 persona;2022;84.184
Total Nacional;09 Cataluña;43 Tarragona;1 persona;2021;83.070
Total Nacional;09 Cataluña;43 Tarragona;1 persona;2020;81.912
Total Nacional;09 Cataluña;43 Tarragona;2 personas;2023;104.781
Total Nacional;09 Cataluña;43 Tarragona;2 personas;2022;103.758
Total Nacional;09 Cataluña;43 Tarragona;2 personas;2021;102.774
Total Nacional;09 Cataluña;43 Tarragona;2 personas;2020;101.852
Total Nacional;09 Cataluña;43 Tarragona;3 personas;2023;64.453
Total Nacional;09 Cataluña;43 Tarragona;3 personas;2022;64.685
Total Nacional;09 Cataluña;43 Tarragona;3 personas;2021;64.924
Total Nacional;09 Cataluña;43 Tarragona;3 personas;2020;65.184
Total Nacional;09 Cataluña;43 Tarragona;4 personas;2023;51.044
Total Nacional;09 Cataluña;43 Tarragona;4 personas;2022;51.418
Total Nacional;09 Cataluña;43 Tarragona;4 personas;2021;51.778
Total Nacional;09 Cataluña;43 Tarragona;4 personas;2020;52.136
Total Nacional;09 Cataluña;43 Tarragona;5 personas o más;2023;20.874
Total Nacional;09 Cataluña;43 Tarragona;5 personas o más;2022;20.686
Total Nacional;09 Cataluña;43 Tarragona;5 personas o más;2021;20.489
Total Nacional;09 Cataluña;43 Tarragona;5 personas o más;2020;20.284
Total Nacional;09 Cataluña;43 Tarragona;Tamaño medio;2023;2,49
Total Nacional;09 Cataluña;43 Tarragona;Tamaño medio;2022;2,50
Total Nacional;09 Cataluña;43 Tarragona;Tamaño medio;2021;2,51
Total Nacional;09 Cataluña;43 Tarragona;Tamaño medio;2020;2,51
Total Nacional;10 Comunitat Valenciana;;Total;2023;2.037.923
Total Nacional;10 Comunitat Valenciana;;Total;2022;2.030.699
Total Nacional;10 Comunitat Valenciana;;Total;2021;2.023.707
Total Nacional;10 Comunitat Valenciana;;Total;2020;2.016.529
Total Nacional;10 Comunitat Valenciana;;1 persona;2023;550.762
Total Nacional;10 Comunitat Valenciana;;1 persona;2022;544.429
Total Nacional;10 Comunitat Valenciana;;1 persona;2021;538.428
Total Nacional;10 Comunitat Valenciana;;1 persona;2020;531.235
Total Nacional;10 Comunitat Valenciana;;2 personas;2023;627.753
Total Nacional;10 Comunitat Valenciana;;2 personas;2022;623.592
Total Nacional;10 Comunitat Valenciana;;2 personas;2021;619.395
Total Nacional;10 Comunitat Valenciana;;2 personas;2020;615.831
Total Nacional;10 Comunitat Valenciana;;3 personas;2023;417.311
Total Nacional;10 Comunitat Valenciana;;3 personas;2022;418.958
Total Nacional;10 Comunitat Valenciana;;3 personas;2021;420.601
Total Nacional;10 Comunitat Valenciana;;3 personas;2020;422.601
Total Nacional;10 Comunitat Valenciana;;4 personas;2023;336.565
Total Nacional;10 Comunitat Valenciana;;4 personas;2022;339.045
Total Nacional;10 Comunitat Valenciana;;4 personas;2021;341.480
Total Nacional;10 Comunitat Valenciana;;4 personas;2020;343.969
Total Nacional;10 Comunitat Valenciana;;5 personas o más;2023;105.532
Total Nacional;10 Comunitat Valenciana;;5 personas o más;2022;104.675
Total Nacional;10 Comunitat Valenciana;;5 personas o más;2021;103.803
Total Nacional;10 Comunitat Valenciana;;5 personas o más;2020;102.893
Total Nacional;10 Comunitat Valenciana;;Tamaño medio;2023;2,46
Total Nacional;10 Comunitat Valenciana;;Tamaño medio;2022;2,46
Total Nacional;10 Comunitat Valenciana;;Tamaño medio;2021;2,47
Total Nacional;10 Comunitat Valenciana;;Tamaño medio;2020;2,47
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total;2023;766.313
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total;2022;762.614
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total;2021;759.006
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total;2020;755.495
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;1 persona;2023;205.298
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;1 persona;2022;202.726
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;1 persona;2021;200.260
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;1 persona;2020;197.466
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2 personas;2023;246.267
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2 personas;2022;244.602
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2 personas;2021;242.911
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2 personas;2020;241.546
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;3 personas;2023;148.772
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;3 personas;2022;148.854
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;3 personas;2021;148.946
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;3 personas;2020;149.148
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;4 personas;2023;122.716
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;4 personas;2022;123.550
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;4 personas;2021;124.386
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;4 personas;2020;125.226
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;5 personas o más;2023;43.260
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;5 personas o más;2022;42.882
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;5 personas o más;2021;42.503
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;5 personas o más;2020;42.109
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Tamaño medio;2023;2,46
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Tamaño medio;2022;2,47
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Tamaño medio;2021;2,47
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Tamaño medio;2020;2,48
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total;2023;233.746
