Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Año;Total
Total Nacional;01 Andalucía;14 Córdoba;5 personas o más;2022;15.860
Total Nacional;01 Andalucía;14 Córdoba;5 personas o más;2021;16.264
Total Nacional;01 Andalucía;14 Córdoba;5 personas o más;2020;16.676
Total Nacional;01 Andalucía;14 Córdoba;Tamaño medio;2023;2,46
Total Nacional;01 Andalucía;14 Córdoba;Tamaño medio;2022;2,48
Total Nacional;01 Andalucía;14 Córdoba;Tamaño medio;2021;2,50
Total Nacional;01 Andalucía;14 Córdoba;Tamaño medio;2020;2,51
Total Nacional;01 Andalucía;18 Granada;Total;2023;374.934
Total Nacional;01 Andalucía;18 Granada;Total;2022;373.322
Total Nacional;01 Andalucía;18 Granada;Total;2021;371.734
Total Nacional;01 Andalucía;18 Granada;Total;2020;370.292
Total Nacional;01 Andalucía;18 Granada;1 persona;2023;105.567
Total Nacional;01 Andalucía;18 Granada;1 persona;2022;104.079
Total Nacional;01 Andalucía;18 Granada;1 persona;2021;102.629
Total Nacional;01 Andalucía;18 Granada;1 persona;2020;101.089
Total Nacional;01 Andalucía;18 Granada;2 personas;2023;113.524
Total Nacional;01 Andalucía;18 Granada;2 personas;2022;112.249
Total Nacional;01 Andalucía;18 Granada;2 personas;2021;110.948
Total Nacional;01 Andalucía;18 Granada;2 personas;2020;109.806
Total Nacional;01 Andalucía;18 Granada;3 personas;2023;69.132
Total Nacional;01 Andalucía;18 Granada;3 personas;2022;69.370
Total Nacional;01 Andalucía;18 Granada;3 personas;2021;69.599
Total Nacional;01 Andalucía;18 Granada;3 personas;2020;69.882
Total Nacional;01 Andalucía;18 Granada;4 personas;2023;65.410
Total Nacional;01 Andalucía;18 Granada;4 personas;2022;66.119
Total Nacional;01 Andalucía;18 Granada;4 personas;2021;66.842
Total Nacional;01 Andalucía;18 Granada;4 personas;2020;67.583
Total Nacional;01 Andalucía;18 Granada;5 personas o más;2023;21.301
Total Nacional;01 Andalucía;18 Granada;5 personas o más;2022;21.505
Total Nacional;01 Andalucía;18 Granada;5 personas o más;2021;21.716
Total Nacional;01 Andalucía;18 Granada;5 personas o más;2020;21.932
Total Nacional;01 Andalucía;18 Granada;Tamaño medio;2023;2,44
Total Nacional;01 Andalucía;18 Granada;Tamaño medio;2022;2,45
Total Nacional;01 Andalucía;18 Granada;Tamaño medio;2021;2,47
Total Nacional;01 Andalucía;18 Granada;Tamaño medio;2020;2,48
Total Nacional;01 Andalucía;21 Huelva;Total;2023;200.279
Total Nacional;01 Andalucía;21 Huelva;Total;2022;199.546
Total Nacional;01 Andalucía;21 Huelva;Total;2021;198.852
Total Nacional;01 Andalucía;21 Huelva;Total;2020;198.040
Total Nacional;01 Andalucía;21 Huelva;1 persona;2023;48.615
Total Nacional;01 Andalucía;21 Huelva;1 persona;2022;47.929
Total Nacional;01 Andalucía;21 Huelva;1 persona;2021;47.291
Total Nacional;01 Andalucía;21 Huelva;1 persona;2020;46.490
Total Nacional;01 Andalucía;21 Huelva;2 personas;2023;55.475
Total Nacional;01 Andalucía;21 Huelva;2 personas;2022;54.895
Total Nacional;01 Andalucía;21 Huelva;2 personas;2021;54.322
Total Nacional;01 Andalucía;21 Huelva;2 personas;2020;53.788
Total Nacional;01 Andalucía;21 Huelva;3 personas;2023;43.247
Total Nacional;01 Andalucía;21 Huelva;3 personas;2022;43.360
Total Nacional;01 Andalucía;21 Huelva;3 personas;2021;43.465
Total Nacional;01 Andalucía;21 Huelva;3 personas;2020;43.584
Total Nacional;01 Andalucía;21 Huelva;4 personas;2023;39.110
Total Nacional;01 Andalucía;21 Huelva;4 personas;2022;39.459
Total Nacional;01 Andalucía;21 Huelva;4 personas;2021;39.796
Total Nacional;01 Andalucía;21 Huelva;4 personas;2020;40.125
Total Nacional;01 Andalucía;21 Huelva;5 personas o más;2023;13.832
Total Nacional;01 Andalucía;21 Huelva;5 personas o más;2022;13.903
Total Nacional;01 Andalucía;21 Huelva;5 personas o más;2021;13.978
Total Nacional;01 Andalucía;21 Huelva;5 personas o más;2020;14.053
Total Nacional;01 Andalucía;21 Huelva;Tamaño medio;2023;2,62
Total Nacional;01 Andalucía;21 Huelva;Tamaño medio;2022;2,63
Total Nacional;01 Andalucía;21 Huelva;Tamaño medio;2021;2,64
Total Nacional;01 Andalucía;21 Huelva;Tamaño medio;2020;2,65
Total Nacional;01 Andalucía;23 Jaén;Total;2023;244.520
Total Nacional;01 Andalucía;23 Jaén;Total;2022;244.892
