Provincias;Nivel de ingresos mensuales netos del hogar;Tamaño del municipio;Tipo de dispositivo de energía renovable;Total
Huesca;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;3.864
Huesca;3.000 euros o más;Más de 50.000 habitantes;Total;4.152
Jaén;Total;Total;Un único tipo de dispositivo: Energía solar térmica;6.727
Jaén;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;4.074
Jaén;Total;Total;Combinación de varios tipos de dispositivos;566
Jaén;Total;Total;No dispone de dispositivo de energía renovable;235.186
Jaén;Total;Total;Total;246.553
Jaén;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;4.926
Jaén;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.249
Jaén;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;566
Jaén;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;171.589
Jaén;Total;De 50.000 habitantes o menos;Total;180.331
Jaén;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.801
Jaén;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;824
Jaén;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Jaén;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;63.597
Jaén;Total;Más de 50.000 habitantes;Total;66.222
Jaén;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.422
Jaén;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;695
Jaén;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Jaén;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;80.194
Jaén;Menos de 1.000 euros;Total;Total;82.445
Jaén;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.134
Jaén;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;401
Jaén;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Jaén;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;62.080
Jaén;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;63.748
Jaén;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;289
Jaén;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;294
Jaén;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Jaén;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;18.113
Jaén;Menos de 1.000 euros;Más de 50.000 habitantes;Total;18.697
Jaén;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.254
Jaén;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;666
Jaén;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;.
Jaén;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;60.448
Jaén;De 1.000 euros a menos de 1.500 euros;Total;Total;63.630
Jaén;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.580
Jaén;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;666
Jaén;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Jaén;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;44.448
Jaén;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;46.956
Jaén;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;673
Jaén;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Jaén;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Jaén;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;16.000
Jaén;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;16.674
Jaén;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;642
Jaén;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.074
Jaén;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Jaén;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;40.226
Jaén;De 1.500 euros a menos de 2.000 euros;Total;Total;41.941
Jaén;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;411
Jaén;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;902
Jaén;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Jaén;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;30.326
Jaén;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;31.639
Jaén;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;230
Jaén;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;172
Jaén;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Jaén;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;9.900
Jaén;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;10.302
Jaén;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.102
Jaén;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;808
Jaén;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;.
Jaén;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;36.516
Jaén;De 2.000 euros a menos de 3.000 euros;Total;Total;38.597
Jaén;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;746
Jaén;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;557
Jaén;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Jaén;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;23.269
Jaén;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;24.743
Jaén;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;356
Jaén;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;251
Jaén;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Jaén;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;13.248
Jaén;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;13.855
Jaén;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;1.307
Jaén;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;830
Jaén;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;.
Jaén;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;17.802
Jaén;3.000 euros o más;Total;Total;19.940
Jaén;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.055
Jaén;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;723
Jaén;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Jaén;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;11.466
Jaén;3.000 euros o más;De 50.000 habitantes o menos;Total;13.245
Jaén;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;252
Jaén;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;107
Jaén;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Jaén;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;6.336
Jaén;3.000 euros o más;Más de 50.000 habitantes;Total;6.695
León;Total;Total;Un único tipo de dispositivo: Energía solar térmica;6.219
León;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.196
León;Total;Total;Combinación de varios tipos de dispositivos;69
León;Total;Total;No dispone de dispositivo de energía renovable;190.789
León;Total;Total;Total;200.273
León;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;4.158
León;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.366
León;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
León;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;112.191
León;Total;De 50.000 habitantes o menos;Total;117.715
León;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;2.061
León;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.830
León;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;69
León;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;78.598
León;Total;Más de 50.000 habitantes;Total;82.558
León;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;281
León;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;757
León;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
León;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;54.158
León;Menos de 1.000 euros;Total;Total;55.224
León;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;213
León;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
León;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
León;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;36.436
León;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;36.756
León;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;68
León;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;651
León;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
León;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;17.721
León;Menos de 1.000 euros;Más de 50.000 habitantes;Total;18.468
León;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.127
León;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;672
León;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;.
León;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;47.142
León;De 1.000 euros a menos de 1.500 euros;Total;Total;48.941
León;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;734
León;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;424
León;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
León;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;28.581
León;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;29.739
León;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;393
León;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;248
León;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
León;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;18.561
León;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;19.202
León;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.227
León;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;317
León;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
León;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;33.071
León;De 1.500 euros a menos de 2.000 euros;Total;Total;34.615
León;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;861
León;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
León;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
León;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;19.152
León;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;20.013
León;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;367
León;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;317
León;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
León;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;13.918
León;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;14.602
León;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.468
León;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;998
León;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;.
León;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;37.173
León;De 2.000 euros a menos de 3.000 euros;Total;Total;40.681
León;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.762
León;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;698
León;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
León;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;19.764
León;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;22.223
León;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;706
León;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;301
León;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
León;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;17.409
León;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;18.458
León;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;1.116
León;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;451
León;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;.
León;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;19.246
León;3.000 euros o más;Total;Total;20.812
León;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;588
León;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
León;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
León;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;8.257
León;3.000 euros o más;De 50.000 habitantes o menos;Total;8.984
León;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;527
León;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;313
León;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
León;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;10.988
León;3.000 euros o más;Más de 50.000 habitantes;Total;11.828
Lleida;Total;Total;Un único tipo de dispositivo: Energía solar térmica;4.330
Lleida;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.963
Lleida;Total;Total;Combinación de varios tipos de dispositivos;.
Lleida;Total;Total;No dispone de dispositivo de energía renovable;167.756
Lleida;Total;Total;Total;176.077
Lleida;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;2.635
Lleida;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.311
Lleida;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lleida;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;114.002
Lleida;Total;De 50.000 habitantes o menos;Total;119.975
Lleida;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.695
Lleida;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;653
Lleida;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lleida;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;53.754
Lleida;Total;Más de 50.000 habitantes;Total;56.102
Lleida;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;257
Lleida;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Lleida;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Lleida;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;38.689
Lleida;Menos de 1.000 euros;Total;Total;39.165
Lleida;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;94
Lleida;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Lleida;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lleida;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;26.529
Lleida;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;26.841
Lleida;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;.
Lleida;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Lleida;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lleida;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;12.160
Lleida;Menos de 1.000 euros;Más de 50.000 habitantes;Total;12.324
Lleida;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.028
Lleida;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;838
Lleida;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;.
Lleida;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;36.641
Lleida;De 1.000 euros a menos de 1.500 euros;Total;Total;38.535
Lleida;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;887
Lleida;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;632
Lleida;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lleida;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;26.402
Lleida;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;27.950
Lleida;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;140
Lleida;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;206
Lleida;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lleida;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;10.239
Lleida;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;10.585
Lleida;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;732
Lleida;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;586
Lleida;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Lleida;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;29.317
Lleida;De 1.500 euros a menos de 2.000 euros;Total;Total;30.635
Lleida;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;362
Lleida;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;406
Lleida;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lleida;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;20.137
Lleida;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;20.906
Lleida;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;370
Lleida;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;179
Lleida;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lleida;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;9.180
Lleida;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;9.729
Lleida;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;874
Lleida;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;894
Lleida;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;.
Lleida;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;42.353
Lleida;De 2.000 euros a menos de 3.000 euros;Total;Total;44.122
Lleida;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;529
Lleida;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;734
Lleida;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lleida;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;28.687
Lleida;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;29.950
Lleida;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;346
Lleida;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;160
Lleida;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lleida;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;13.667
Lleida;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;14.172
Lleida;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;1.438
Lleida;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.427
Lleida;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;.
Lleida;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;20.755
Lleida;3.000 euros o más;Total;Total;23.620
Lleida;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;762
Lleida;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.320
Lleida;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lleida;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;12.246
Lleida;3.000 euros o más;De 50.000 habitantes o menos;Total;14.328
Lleida;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;676
Lleida;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Lleida;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lleida;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;8.509
Lleida;3.000 euros o más;Más de 50.000 habitantes;Total;9.292
Lugo;Total;Total;Un único tipo de dispositivo: Energía solar térmica;1.803
Lugo;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.004
Lugo;Total;Total;Combinación de varios tipos de dispositivos;.
Lugo;Total;Total;No dispone de dispositivo de energía renovable;133.572
Lugo;Total;Total;Total;137.448
