Provincias;Consumo eléctrico;Total
Teruel;Viviendas con cosumo entre 751 y 1.000 kwh;6.652
Teruel;Viviendas con cosumo entre 1.001 y 2.000 kwh;21.849
Teruel;Viviendas con cosumo entre 2.001 y 3.000 kwh;14.915
Teruel;Viviendas con cosumo entre 3.001 y 4.000 kwh;7.938
Teruel;Viviendas con cosumo entre 4.001 y 5.000 kwh;3.739
Teruel;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.974
Teruel;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.165
Teruel;Viviendas con cosumo entre 7.001 y 8.000 kwh;819
Teruel;Viviendas con cosumo entre 8.001 y 9.000 kwh;622
Teruel;Viviendas con cosumo entre 9.001 y 10.000 kwh;490
Teruel;Viviendas con consumo mayor de 10.000 kwh;1.826
Zaragoza;Viviendas totales;543.799
Zaragoza;Viviendas vacías;67.164
Zaragoza;Mediana consumo anual;2.027
Zaragoza;Viviendas con bajo consumo;16.384
Zaragoza;Viviendas de uso esporádico;45.709
Zaragoza;Viviendas de uso esporádico (entre 251 y 500 kwh);21.850
Zaragoza;Viviendas de uso esporádico (entre 501 y 750 kwh);23.859
Zaragoza;Viviendas con cosumo entre 751 y 1.000 kwh;29.407
Zaragoza;Viviendas con cosumo entre 1.001 y 2.000 kwh;151.123
Zaragoza;Viviendas con cosumo entre 2.001 y 3.000 kwh;118.131
Zaragoza;Viviendas con cosumo entre 3.001 y 4.000 kwh;58.005
Zaragoza;Viviendas con cosumo entre 4.001 y 5.000 kwh;25.649
Zaragoza;Viviendas con cosumo entre 5.001 y 6.000 kwh;11.972
Zaragoza;Viviendas con cosumo entre 6.001 y 7.000 kwh;6.417
Zaragoza;Viviendas con cosumo entre 7.001 y 8.000 kwh;4.007
Zaragoza;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.595
Zaragoza;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.827
Zaragoza;Viviendas con consumo mayor de 10.000 kwh;5.409
Asturias;Viviendas totales;674.342
Asturias;Viviendas vacías;100.646
Asturias;Mediana consumo anual;1.792
Asturias;Viviendas con bajo consumo;27.516
Asturias;Viviendas de uso esporádico;77.587
Asturias;Viviendas de uso esporádico (entre 251 y 500 kwh);37.927
Asturias;Viviendas de uso esporádico (entre 501 y 750 kwh);39.660
Asturias;Viviendas con cosumo entre 751 y 1.000 kwh;43.961
Asturias;Viviendas con cosumo entre 1.001 y 2.000 kwh;187.005
Asturias;Viviendas con cosumo entre 2.001 y 3.000 kwh;116.896
Asturias;Viviendas con cosumo entre 3.001 y 4.000 kwh;53.055
Asturias;Viviendas con cosumo entre 4.001 y 5.000 kwh;26.587
Asturias;Viviendas con cosumo entre 5.001 y 6.000 kwh;14.546
Asturias;Viviendas con cosumo entre 6.001 y 7.000 kwh;8.793
Asturias;Viviendas con cosumo entre 7.001 y 8.000 kwh;5.409
Asturias;Viviendas con cosumo entre 8.001 y 9.000 kwh;3.440
Asturias;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.369
Asturias;Viviendas con consumo mayor de 10.000 kwh;6.532
Cantabria;Viviendas totales;383.642
Cantabria;Viviendas vacías;49.497
Cantabria;Mediana consumo anual;1.685
Cantabria;Viviendas con bajo consumo;23.016
Cantabria;Viviendas de uso esporádico;59.608
Cantabria;Viviendas de uso esporádico (entre 251 y 500 kwh);31.919
Cantabria;Viviendas de uso esporádico (entre 501 y 750 kwh);27.689
Cantabria;Viviendas con cosumo entre 751 y 1.000 kwh;25.658
Cantabria;Viviendas con cosumo entre 1.001 y 2.000 kwh;100.869
Cantabria;Viviendas con cosumo entre 2.001 y 3.000 kwh;67.484
Cantabria;Viviendas con cosumo entre 3.001 y 4.000 kwh;29.677
Cantabria;Viviendas con cosumo entre 4.001 y 5.000 kwh;12.317
Cantabria;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.711
Cantabria;Viviendas con cosumo entre 6.001 y 7.000 kwh;3.077
Cantabria;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.738
Cantabria;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.132
Cantabria;Viviendas con cosumo entre 9.001 y 10.000 kwh;789
Cantabria;Viviendas con consumo mayor de 10.000 kwh;3.069
Ávila;Viviendas totales;171.947
Ávila;Viviendas vacías;37.424
Ávila;Mediana consumo anual;1.451
Ávila;Viviendas con bajo consumo;16.377
Ávila;Viviendas de uso esporádico;30.681
Ávila;Viviendas de uso esporádico (entre 251 y 500 kwh);17.221
Ávila;Viviendas de uso esporádico (entre 501 y 750 kwh);13.460
Ávila;Viviendas con cosumo entre 751 y 1.000 kwh;11.404
Ávila;Viviendas con cosumo entre 1.001 y 2.000 kwh;33.738
Ávila;Viviendas con cosumo entre 2.001 y 3.000 kwh;20.516
Ávila;Viviendas con cosumo entre 3.001 y 4.000 kwh;10.115
Ávila;Viviendas con cosumo entre 4.001 y 5.000 kwh;4.589
Ávila;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.260
Ávila;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.355
Ávila;Viviendas con cosumo entre 7.001 y 8.000 kwh;858
Ávila;Viviendas con cosumo entre 8.001 y 9.000 kwh;646
Ávila;Viviendas con cosumo entre 9.001 y 10.000 kwh;414
Ávila;Viviendas con consumo mayor de 10.000 kwh;1.570
Burgos;Viviendas totales;275.639
Burgos;Viviendas vacías;48.577
Burgos;Mediana consumo anual;1.511
Burgos;Viviendas con bajo consumo;21.589
Burgos;Viviendas de uso esporádico;43.253
Burgos;Viviendas de uso esporádico (entre 251 y 500 kwh);22.989
Burgos;Viviendas de uso esporádico (entre 501 y 750 kwh);20.264
Burgos;Viviendas con cosumo entre 751 y 1.000 kwh;20.108
Burgos;Viviendas con cosumo entre 1.001 y 2.000 kwh;72.274
Burgos;Viviendas con cosumo entre 2.001 y 3.000 kwh;40.401
Burgos;Viviendas con cosumo entre 3.001 y 4.000 kwh;14.852
Burgos;Viviendas con cosumo entre 4.001 y 5.000 kwh;5.560
Burgos;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.663
Burgos;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.658
Burgos;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.242
Burgos;Viviendas con cosumo entre 8.001 y 9.000 kwh;869
Burgos;Viviendas con cosumo entre 9.001 y 10.000 kwh;636
Burgos;Viviendas con consumo mayor de 10.000 kwh;1.957
León;Viviendas totales;354.725
León;Viviendas vacías;89.097
León;Mediana consumo anual;1.715
León;Viviendas con bajo consumo;21.467
León;Viviendas de uso esporádico;43.140
León;Viviendas de uso esporádico (entre 251 y 500 kwh);22.794
León;Viviendas de uso esporádico (entre 501 y 750 kwh);20.346
León;Viviendas con cosumo entre 751 y 1.000 kwh;20.602
León;Viviendas con cosumo entre 1.001 y 2.000 kwh;78.859
León;Viviendas con cosumo entre 2.001 y 3.000 kwh;50.753
León;Viviendas con cosumo entre 3.001 y 4.000 kwh;23.227
León;Viviendas con cosumo entre 4.001 y 5.000 kwh;10.282
León;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.014
León;Viviendas con cosumo entre 6.001 y 7.000 kwh;2.936
León;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.054
León;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.494
León;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.114
León;Viviendas con consumo mayor de 10.000 kwh;4.686
Palencia;Viviendas totales;116.431
Palencia;Viviendas vacías;18.351
Palencia;Mediana consumo anual;1.542
Palencia;Viviendas con bajo consumo;9.534
Palencia;Viviendas de uso esporádico;18.206
Palencia;Viviendas de uso esporádico (entre 251 y 500 kwh);9.889
Palencia;Viviendas de uso esporádico (entre 501 y 750 kwh);8.317
Palencia;Viviendas con cosumo entre 751 y 1.000 kwh;8.276
Palencia;Viviendas con cosumo entre 1.001 y 2.000 kwh;31.096
Palencia;Viviendas con cosumo entre 2.001 y 3.000 kwh;18.437
Palencia;Viviendas con cosumo entre 3.001 y 4.000 kwh;6.945
Palencia;Viviendas con cosumo entre 4.001 y 5.000 kwh;2.334
Palencia;Viviendas con cosumo entre 5.001 y 6.000 kwh;977
Palencia;Viviendas con cosumo entre 6.001 y 7.000 kwh;554
Palencia;Viviendas con cosumo entre 7.001 y 8.000 kwh;389
Palencia;Viviendas con cosumo entre 8.001 y 9.000 kwh;288
Palencia;Viviendas con cosumo entre 9.001 y 10.000 kwh;204
Palencia;Viviendas con consumo mayor de 10.000 kwh;840
Salamanca;Viviendas totales;246.123
Salamanca;Viviendas vacías;41.709
Salamanca;Mediana consumo anual;1.678
Salamanca;Viviendas con bajo consumo;17.493
Salamanca;Viviendas de uso esporádico;33.339
Salamanca;Viviendas de uso esporádico (entre 251 y 500 kwh);17.648
Salamanca;Viviendas de uso esporádico (entre 501 y 750 kwh);15.691
Salamanca;Viviendas con cosumo entre 751 y 1.000 kwh;16.179
Salamanca;Viviendas con cosumo entre 1.001 y 2.000 kwh;62.503
Salamanca;Viviendas con cosumo entre 2.001 y 3.000 kwh;38.583
Salamanca;Viviendas con cosumo entre 3.001 y 4.000 kwh;16.669
Salamanca;Viviendas con cosumo entre 4.001 y 5.000 kwh;7.122
Salamanca;Viviendas con cosumo entre 5.001 y 6.000 kwh;3.615
Salamanca;Viviendas con cosumo entre 6.001 y 7.000 kwh;2.285
Salamanca;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.697
Salamanca;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.308
Salamanca;Viviendas con cosumo entre 9.001 y 10.000 kwh;948
Salamanca;Viviendas con consumo mayor de 10.000 kwh;2.673
Segovia;Viviendas totales;128.255
Segovia;Viviendas vacías;35.253
Segovia;Mediana consumo anual;1.925
Segovia;Viviendas con bajo consumo;6.911
Segovia;Viviendas de uso esporádico;15.412
Segovia;Viviendas de uso esporádico (entre 251 y 500 kwh);8.232
Segovia;Viviendas de uso esporádico (entre 501 y 750 kwh);7.180
Segovia;Viviendas con cosumo entre 751 y 1.000 kwh;6.361
Segovia;Viviendas con cosumo entre 1.001 y 2.000 kwh;22.799
Segovia;Viviendas con cosumo entre 2.001 y 3.000 kwh;17.216
Segovia;Viviendas con cosumo entre 3.001 y 4.000 kwh;9.873
Segovia;Viviendas con cosumo entre 4.001 y 5.000 kwh;5.211
Segovia;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.634
Segovia;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.628
Segovia;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.061
Segovia;Viviendas con cosumo entre 8.001 y 9.000 kwh;776
Segovia;Viviendas con cosumo entre 9.001 y 10.000 kwh;577
Segovia;Viviendas con consumo mayor de 10.000 kwh;2.543
Soria;Viviendas totales;84.255
Soria;Viviendas vacías;21.159
Soria;Mediana consumo anual;1.466
Soria;Viviendas con bajo consumo;7.665
Soria;Viviendas de uso esporádico;13.353
Soria;Viviendas de uso esporádico (entre 251 y 500 kwh);7.593
Soria;Viviendas de uso esporádico (entre 501 y 750 kwh);5.760
Soria;Viviendas con cosumo entre 751 y 1.000 kwh;5.261
Soria;Viviendas con cosumo entre 1.001 y 2.000 kwh;17.874
Soria;Viviendas con cosumo entre 2.001 y 3.000 kwh;10.596
Soria;Viviendas con cosumo entre 3.001 y 4.000 kwh;4.284
Soria;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.590
Soria;Viviendas con cosumo entre 5.001 y 6.000 kwh;740
Soria;Viviendas con cosumo entre 6.001 y 7.000 kwh;448
Soria;Viviendas con cosumo entre 7.001 y 8.000 kwh;280
Soria;Viviendas con cosumo entre 8.001 y 9.000 kwh;231
Soria;Viviendas con cosumo entre 9.001 y 10.000 kwh;164
Soria;Viviendas con consumo mayor de 10.000 kwh;610
Valladolid;Viviendas totales;296.910
Valladolid;Viviendas vacías;27.222
Valladolid;Mediana consumo anual;1.731
Valladolid;Viviendas con bajo consumo;13.716
Valladolid;Viviendas de uso esporádico;34.852
Valladolid;Viviendas de uso esporádico (entre 251 y 500 kwh);16.882
Valladolid;Viviendas de uso esporádico (entre 501 y 750 kwh);17.970
Valladolid;Viviendas con cosumo entre 751 y 1.000 kwh;21.289
Valladolid;Viviendas con cosumo entre 1.001 y 2.000 kwh;96.295
Valladolid;Viviendas con cosumo entre 2.001 y 3.000 kwh;60.684
Valladolid;Viviendas con cosumo entre 3.001 y 4.000 kwh;23.552
Valladolid;Viviendas con cosumo entre 4.001 y 5.000 kwh;8.594
Valladolid;Viviendas con cosumo entre 5.001 y 6.000 kwh;3.632
Valladolid;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.958
Valladolid;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.262
Valladolid;Viviendas con cosumo entre 8.001 y 9.000 kwh;850
Valladolid;Viviendas con cosumo entre 9.001 y 10.000 kwh;654
Valladolid;Viviendas con consumo mayor de 10.000 kwh;2.350
Zamora;Viviendas totales;155.610
Zamora;Viviendas vacías;41.812
Zamora;Mediana consumo anual;1.652
Zamora;Viviendas con bajo consumo;12.377
Zamora;Viviendas de uso esporádico;20.861
Zamora;Viviendas de uso esporádico (entre 251 y 500 kwh);11.594
Zamora;Viviendas de uso esporádico (entre 501 y 750 kwh);9.267
Zamora;Viviendas con cosumo entre 751 y 1.000 kwh;8.661
Zamora;Viviendas con cosumo entre 1.001 y 2.000 kwh;31.039
Zamora;Viviendas con cosumo entre 2.001 y 3.000 kwh;20.160
Zamora;Viviendas con cosumo entre 3.001 y 4.000 kwh;9.108
Zamora;Viviendas con cosumo entre 4.001 y 5.000 kwh;4.053
Zamora;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.106
Zamora;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.375
Zamora;Viviendas con cosumo entre 7.001 y 8.000 kwh;943
Zamora;Viviendas con cosumo entre 8.001 y 9.000 kwh;739
Zamora;Viviendas con cosumo entre 9.001 y 10.000 kwh;567
Zamora;Viviendas con consumo mayor de 10.000 kwh;1.809
Albacete;Viviendas totales;241.313
Albacete;Viviendas vacías;39.878
Albacete;Mediana consumo anual;2.051
Albacete;Viviendas con bajo consumo;12.596
Albacete;Viviendas de uso esporádico;27.113
Albacete;Viviendas de uso esporádico (entre 251 y 500 kwh);14.392
Albacete;Viviendas de uso esporádico (entre 501 y 750 kwh);12.721
Albacete;Viviendas con cosumo entre 751 y 1.000 kwh;12.559
Albacete;Viviendas con cosumo entre 1.001 y 2.000 kwh;52.153
Albacete;Viviendas con cosumo entre 2.001 y 3.000 kwh;42.757
Albacete;Viviendas con cosumo entre 3.001 y 4.000 kwh;24.677
Albacete;Viviendas con cosumo entre 4.001 y 5.000 kwh;12.310
Albacete;Viviendas con cosumo entre 5.001 y 6.000 kwh;6.023
Albacete;Viviendas con cosumo entre 6.001 y 7.000 kwh;3.453
Albacete;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.174
Albacete;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.504
Albacete;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.098
Albacete;Viviendas con consumo mayor de 10.000 kwh;3.018
Ciudad Real;Viviendas totales;313.180
Ciudad Real;Viviendas vacías;91.169
Ciudad Real;Mediana consumo anual;2.635
Ciudad Real;Viviendas con bajo consumo;9.266
Ciudad Real;Viviendas de uso esporádico;24.649
Ciudad Real;Viviendas de uso esporádico (entre 251 y 500 kwh);13.133
Ciudad Real;Viviendas de uso esporádico (entre 501 y 750 kwh);11.516
Ciudad Real;Viviendas con cosumo entre 751 y 1.000 kwh;11.074
Ciudad Real;Viviendas con cosumo entre 1.001 y 2.000 kwh;43.690
Ciudad Real;Viviendas con cosumo entre 2.001 y 3.000 kwh;41.381
Ciudad Real;Viviendas con cosumo entre 3.001 y 4.000 kwh;31.640
Ciudad Real;Viviendas con cosumo entre 4.001 y 5.000 kwh;20.099
Ciudad Real;Viviendas con cosumo entre 5.001 y 6.000 kwh;12.258
Ciudad Real;Viviendas con cosumo entre 6.001 y 7.000 kwh;7.502
Ciudad Real;Viviendas con cosumo entre 7.001 y 8.000 kwh;5.012
Ciudad Real;Viviendas con cosumo entre 8.001 y 9.000 kwh;3.587
Ciudad Real;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.586
Ciudad Real;Viviendas con consumo mayor de 10.000 kwh;9.267
Cuenca;Viviendas totales;165.616
Cuenca;Viviendas vacías;41.548
Cuenca;Mediana consumo anual;1.758
Cuenca;Viviendas con bajo consumo;12.465
Cuenca;Viviendas de uso esporádico;23.121
Cuenca;Viviendas de uso esporádico (entre 251 y 500 kwh);12.884
Cuenca;Viviendas de uso esporádico (entre 501 y 750 kwh);10.237
Cuenca;Viviendas con cosumo entre 751 y 1.000 kwh;9.048
Cuenca;Viviendas con cosumo entre 1.001 y 2.000 kwh;30.553
Cuenca;Viviendas con cosumo entre 2.001 y 3.000 kwh;21.305
Cuenca;Viviendas con cosumo entre 3.001 y 4.000 kwh;11.497
Cuenca;Viviendas con cosumo entre 4.001 y 5.000 kwh;5.912
Cuenca;Viviendas con cosumo entre 5.001 y 6.000 kwh;3.060
Cuenca;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.781
Cuenca;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.213
Cuenca;Viviendas con cosumo entre 8.001 y 9.000 kwh;900
Cuenca;Viviendas con cosumo entre 9.001 y 10.000 kwh;711
