Provincias;Ingresos netos;Dispone de dispositivo de energía renovable;Total
Córdoba;Menos de 1.000 euros;Si;3687
Gipuzkoa;3.000 euros o más;No;61337
Gipuzkoa;3.000 euros o más;Si;5710
Gipuzkoa;De 1.000 euros a menos de 1.500 euros;No;50831
Gipuzkoa;De 1.000 euros a menos de 1.500 euros;Si;983
Gipuzkoa;De 1.500 euros a menos de 2.000 euros;No;50274
Gipuzkoa;De 1.500 euros a menos de 2.000 euros;Si;3009
Gipuzkoa;De 2.000 euros a menos de 3.000 euros;No;72687
Gipuzkoa;De 2.000 euros a menos de 3.000 euros;Si;4067
Gipuzkoa;Menos de 1.000 euros;No;34612
Gipuzkoa;Menos de 1.000 euros;Si;1486
Girona;3.000 euros o más;No;41097
Girona;3.000 euros o más;Si;4576
Girona;De 1.000 euros a menos de 1.500 euros;No;69016
Girona;De 1.000 euros a menos de 1.500 euros;Si;4253
Girona;De 1.500 euros a menos de 2.000 euros;No;49073
Girona;De 1.500 euros a menos de 2.000 euros;Si;589
Girona;De 2.000 euros a menos de 3.000 euros;No;71844
Girona;De 2.000 euros a menos de 3.000 euros;Si;4613
Girona;Menos de 1.000 euros;No;51425
Girona;Menos de 1.000 euros;Si;2796
Granada;3.000 euros o más;No;34602
Granada;3.000 euros o más;Si;3149
Granada;De 1.000 euros a menos de 1.500 euros;No;82266
Granada;De 1.000 euros a menos de 1.500 euros;Si;5503
Granada;De 1.500 euros a menos de 2.000 euros;No;52971
Granada;De 1.500 euros a menos de 2.000 euros;Si;4402
Granada;De 2.000 euros a menos de 3.000 euros;No;54868
Granada;De 2.000 euros a menos de 3.000 euros;Si;3532
Granada;Menos de 1.000 euros;No;127004
Granada;Menos de 1.000 euros;Si;7859
Guadalajara;3.000 euros o más;No;11579
Guadalajara;3.000 euros o más;Si;1840
Guadalajara;De 1.000 euros a menos de 1.500 euros;No;24202
Guadalajara;De 1.000 euros a menos de 1.500 euros;Si;1457
Guadalajara;De 1.500 euros a menos de 2.000 euros;No;15847
Guadalajara;De 1.500 euros a menos de 2.000 euros;Si;899
Guadalajara;De 2.000 euros a menos de 3.000 euros;No;21180
Guadalajara;De 2.000 euros a menos de 3.000 euros;Si;1755
Guadalajara;Menos de 1.000 euros;No;21773
Guadalajara;Menos de 1.000 euros;Si;1380
Huelva;3.000 euros o más;No;15844
Huelva;3.000 euros o más;Si;2302
Huelva;De 1.000 euros a menos de 1.500 euros;No;49464
Huelva;De 1.000 euros a menos de 1.500 euros;Si;3058
Huelva;De 1.500 euros a menos de 2.000 euros;No;31881
Huelva;De 1.500 euros a menos de 2.000 euros;Si;2987
Huelva;De 2.000 euros a menos de 3.000 euros;No;29385
Huelva;De 2.000 euros a menos de 3.000 euros;Si;4486
Huelva;Menos de 1.000 euros;No;59578
Huelva;Menos de 1.000 euros;Si;2977
Huesca;3.000 euros o más;No;13905
