Provincias;Edad (grupos quinquenales);Total
Burgos;De 45 a 49 años;28.560
Burgos;De 50 a 54 años;28.143
Burgos;De 55 a 59 años;28.122
Burgos;De 60 a 64 años;26.680
Burgos;De 65 a 69 años;22.456
Burgos;De 70 a 74 años  ;19.298
Burgos;De 75 a 79 años  ;16.349
Burgos;De 80 a 84 años  ;11.392
Burgos;De 85 a 89 años  ;10.341
Burgos;De 90 a 94 años  ;5.752
Burgos;De 95 a 99 años  ;1.729
Burgos;100 y más años;224
León;De 0 a 4 años;12.207
León;De 5 a 9 años;15.628
León;De 10 a 14 años  ;17.781
León;De 15 a 19 años  ;18.019
León;De 20 a 24 años;18.263
León;De 25 a 29 años;18.312
León;De 30 a 34 años;20.763
León;De 35 a 39 años;25.988
León;De 40 a 44 años;31.823
León;De 45 a 49 años;33.957
León;De 50 a 54 años;35.423
León;De 55 a 59 años;37.361
León;De 60 a 64 años;36.532
León;De 65 a 69 años;30.641
León;De 70 a 74 años  ;26.142
León;De 75 a 79 años  ;22.794
León;De 80 a 84 años  ;17.431
León;De 85 a 89 años  ;17.499
León;De 90 a 94 años  ;8.741
León;De 95 a 99 años  ;2.461
León;100 y más años;413
Palencia;De 0 a 4 años;4.858
Palencia;De 5 a 9 años;6.006
Palencia;De 10 a 14 años  ;6.349
Palencia;De 15 a 19 años  ;6.598
Palencia;De 20 a 24 años;6.629
Palencia;De 25 a 29 años;6.946
Palencia;De 30 a 34 años;7.691
Palencia;De 35 a 39 años;9.202
Palencia;De 40 a 44 años;11.218
Palencia;De 45 a 49 años;11.512
Palencia;De 50 a 54 años;12.219
Palencia;De 55 a 59 años;13.295
Palencia;De 60 a 64 años;13.303
Palencia;De 65 a 69 años;11.347
Palencia;De 70 a 74 años  ;9.242
Palencia;De 75 a 79 años  ;7.614
Palencia;De 80 a 84 años  ;5.185
Palencia;De 85 a 89 años  ;5.036
Palencia;De 90 a 94 años  ;2.794
Palencia;De 95 a 99 años  ;854
Palencia;100 y más años;110
Salamanca;De 0 a 4 años;9.502
Salamanca;De 5 a 9 años;12.046
Salamanca;De 10 a 14 años  ;13.980
Salamanca;De 15 a 19 años  ;14.427
Salamanca;De 20 a 24 años;14.893
Salamanca;De 25 a 29 años;14.956
Salamanca;De 30 a 34 años;15.863
Salamanca;De 35 a 39 años;18.233
Salamanca;De 40 a 44 años;21.905
Salamanca;De 45 a 49 años;23.911
Salamanca;De 50 a 54 años;25.776
Salamanca;De 55 a 59 años;26.559
Salamanca;De 60 a 64 años;24.922
Salamanca;De 65 a 69 años;20.658
Salamanca;De 70 a 74 años  ;18.355
Salamanca;De 75 a 79 años  ;16.802
Salamanca;De 80 a 84 años  ;12.774
Salamanca;De 85 a 89 años  ;11.758
Salamanca;De 90 a 94 años  ;6.285
Salamanca;De 95 a 99 años  ;1.961
Salamanca;100 y más años;332
Segovia;De 0 a 4 años;5.310
Segovia;De 5 a 9 años;6.556
Segovia;De 10 a 14 años  ;7.383
Segovia;De 15 a 19 años  ;7.492
Segovia;De 20 a 24 años;7.657
Segovia;De 25 a 29 años;7.648
Segovia;De 30 a 34 años;7.862
Segovia;De 35 a 39 años;9.092
Segovia;De 40 a 44 años;11.002
Segovia;De 45 a 49 años;12.094
Segovia;De 50 a 54 años;12.438
Segovia;De 55 a 59 años;12.685
Segovia;De 60 a 64 años;11.365
Segovia;De 65 a 69 años;8.834
Segovia;De 70 a 74 años  ;7.307
Segovia;De 75 a 79 años  ;6.306
Segovia;De 80 a 84 años  ;4.819
Segovia;De 85 a 89 años  ;4.658
Segovia;De 90 a 94 años  ;2.491
Segovia;De 95 a 99 años  ;696
Segovia;100 y más años;108
Soria;De 0 a 4 años;3.031
Soria;De 5 a 9 años;3.509
Soria;De 10 a 14 años  ;3.956
Soria;De 15 a 19 años  ;4.002
Soria;De 20 a 24 años;4.261
Soria;De 25 a 29 años;4.218
Soria;De 30 a 34 años;4.407
Soria;De 35 a 39 años;5.061
Soria;De 40 a 44 años;6.087
Soria;De 45 a 49 años;6.552
Soria;De 50 a 54 años;6.824
Soria;De 55 a 59 años;7.220
Soria;De 60 a 64 años;6.674
Soria;De 65 a 69 años;5.185
Soria;De 70 a 74 años  ;4.474
Soria;De 75 a 79 años  ;4.069
Soria;De 80 a 84 años  ;3.149
Soria;De 85 a 89 años  ;3.210
Soria;De 90 a 94 años  ;1.796
Soria;De 95 a 99 años  ;579
Soria;100 y más años;113
Valladolid;De 0 a 4 años;16.822
Valladolid;De 5 a 9 años;22.513
Valladolid;De 10 a 14 años  ;25.394
Valladolid;De 15 a 19 años  ;24.665
Valladolid;De 20 a 24 años;22.858
Valladolid;De 25 a 29 años;22.522
Valladolid;De 30 a 34 años;24.315
Valladolid;De 35 a 39 años;30.144
Valladolid;De 40 a 44 años;40.375
Valladolid;De 45 a 49 años;44.636
Valladolid;De 50 a 54 años;42.330
Valladolid;De 55 a 59 años;39.760
Valladolid;De 60 a 64 años;36.927
Valladolid;De 65 a 69 años;32.037
Valladolid;De 70 a 74 años  ;29.721
Valladolid;De 75 a 79 años  ;24.828
Valladolid;De 80 a 84 años  ;16.568
Valladolid;De 85 a 89 años  ;13.033
Valladolid;De 90 a 94 años  ;6.429
Valladolid;De 95 a 99 años  ;1.829
Valladolid;100 y más años;269
Zamora;De 0 a 4 años;4.029
Zamora;De 5 a 9 años;5.134
Zamora;De 10 a 14 años  ;5.859
Zamora;De 15 a 19 años  ;6.226
Zamora;De 20 a 24 años;6.655
Zamora;De 25 a 29 años;6.953
Zamora;De 30 a 34 años;7.630
Zamora;De 35 a 39 años;8.860
Zamora;De 40 a 44 años;11.081
Zamora;De 45 a 49 años;11.685
Zamora;De 50 a 54 años;12.618
Zamora;De 55 a 59 años;13.915
Zamora;De 60 a 64 años;13.602
Zamora;De 65 a 69 años;11.920
Zamora;De 70 a 74 años  ;10.640
Zamora;De 75 a 79 años  ;9.698
Zamora;De 80 a 84 años  ;7.925
Zamora;De 85 a 89 años  ;7.657
Zamora;De 90 a 94 años  ;3.851
Zamora;De 95 a 99 años  ;1.115
Zamora;100 y más años;162
Albacete;De 0 a 4 años;14.458
Albacete;De 5 a 9 años;17.951
Albacete;De 10 a 14 años  ;20.204
Albacete;De 15 a 19 años  ;20.219
Albacete;De 20 a 24 años;21.119
Albacete;De 25 a 29 años;21.179
Albacete;De 30 a 34 años;22.480
Albacete;De 35 a 39 años;24.437
Albacete;De 40 a 44 años;29.306
Albacete;De 45 a 49 años;30.986
Albacete;De 50 a 54 años;30.752
Albacete;De 55 a 59 años;30.316
Albacete;De 60 a 64 años;26.450
Albacete;De 65 a 69 años;19.410
Albacete;De 70 a 74 años  ;16.889
Albacete;De 75 a 79 años  ;14.215
Albacete;De 80 a 84 años  ;11.294
Albacete;De 85 a 89 años  ;8.803
Albacete;De 90 a 94 años  ;4.177
Albacete;De 95 a 99 años  ;940
Albacete;100 y más años;142
Ciudad Real;De 0 a 4 años;18.258
Ciudad Real;De 5 a 9 años;22.448
Ciudad Real;De 10 a 14 años  ;25.524
Ciudad Real;De 15 a 19 años  ;25.259
Ciudad Real;De 20 a 24 años;26.099
Ciudad Real;De 25 a 29 años;27.497
Ciudad Real;De 30 a 34 años;28.829
Ciudad Real;De 35 a 39 años;31.198
Ciudad Real;De 40 a 44 años;36.253
Ciudad Real;De 45 a 49 años;37.445
Ciudad Real;De 50 a 54 años;38.010
Ciudad Real;De 55 a 59 años;38.120
Ciudad Real;De 60 a 64 años;34.831
Ciudad Real;De 65 a 69 años;25.989
Ciudad Real;De 70 a 74 años  ;22.778
Ciudad Real;De 75 a 79 años  ;18.832
Ciudad Real;De 80 a 84 años  ;14.252
Ciudad Real;De 85 a 89 años  ;11.904
Ciudad Real;De 90 a 94 años  ;5.733
Ciudad Real;De 95 a 99 años  ;1.344
Ciudad Real;100 y más años;203
Cuenca;De 0 a 4 años;6.428
Cuenca;De 5 a 9 años;8.039
Cuenca;De 10 a 14 años  ;8.901
Cuenca;De 15 a 19 años  ;9.494
Cuenca;De 20 a 24 años;10.231
Cuenca;De 25 a 29 años;10.436
Cuenca;De 30 a 34 años;11.262
Cuenca;De 35 a 39 años;11.730
Cuenca;De 40 a 44 años;13.814
Cuenca;De 45 a 49 años;14.414
Cuenca;De 50 a 54 años;15.212
Cuenca;De 55 a 59 años;15.760
Cuenca;De 60 a 64 años;14.253
Cuenca;De 65 a 69 años;10.476
Cuenca;De 70 a 74 años  ;9.270
Cuenca;De 75 a 79 años  ;8.027
Cuenca;De 80 a 84 años  ;7.230
Cuenca;De 85 a 89 años  ;6.279
Cuenca;De 90 a 94 años  ;3.131
Cuenca;De 95 a 99 años  ;710
Cuenca;100 y más años;118
Guadalajara;De 0 a 4 años;11.000
Guadalajara;De 5 a 9 años;14.404
Guadalajara;De 10 a 14 años  ;16.205
Guadalajara;De 15 a 19 años  ;15.236
Guadalajara;De 20 a 24 años;13.892
Guadalajara;De 25 a 29 años;13.694
Guadalajara;De 30 a 34 años;15.251
Guadalajara;De 35 a 39 años;18.803
Guadalajara;De 40 a 44 años;24.012
Guadalajara;De 45 a 49 años;24.488
Guadalajara;De 50 a 54 años;21.713
Guadalajara;De 55 a 59 años;19.359
Guadalajara;De 60 a 64 años;16.143
Guadalajara;De 65 a 69 años;12.327
Guadalajara;De 70 a 74 años  ;9.703
Guadalajara;De 75 a 79 años  ;7.553
Guadalajara;De 80 a 84 años  ;5.420
Guadalajara;De 85 a 89 años  ;5.089
Guadalajara;De 90 a 94 años  ;2.809
Guadalajara;De 95 a 99 años  ;897
Guadalajara;100 y más años;129
Toledo;De 0 a 4 años;29.521
Toledo;De 5 a 9 años;38.295
Toledo;De 10 a 14 años  ;42.854
Toledo;De 15 a 19 años  ;40.011
Toledo;De 20 a 24 años;37.391
Toledo;De 25 a 29 años;36.656
Toledo;De 30 a 34 años;40.485
Toledo;De 35 a 39 años;49.156
Toledo;De 40 a 44 años;60.422
Toledo;De 45 a 49 años;60.214
Toledo;De 50 a 54 años;55.087
Toledo;De 55 a 59 años;49.980
Toledo;De 60 a 64 años;43.947
Toledo;De 65 a 69 años;34.323
Toledo;De 70 a 74 años  ;29.414
Toledo;De 75 a 79 años  ;24.093
Toledo;De 80 a 84 años  ;17.080
Toledo;De 85 a 89 años  ;14.958
Toledo;De 90 a 94 años  ;7.392
Toledo;De 95 a 99 años  ;1.911
Toledo;100 y más años;263
Barcelona;De 0 a 4 años;225.286
Barcelona;De 5 a 9 años;275.679
Barcelona;De 10 a 14 años  ;310.383
Barcelona;De 15 a 19 años  ;306.685
Barcelona;De 20 a 24 años;300.622
Barcelona;De 25 a 29 años;327.188
Barcelona;De 30 a 34 años;353.914
Barcelona;De 35 a 39 años;387.851
Barcelona;De 40 a 44 años;467.166
Barcelona;De 45 a 49 años;493.896
Barcelona;De 50 a 54 años;438.802
Barcelona;De 55 a 59 años;392.565
Barcelona;De 60 a 64 años;341.645
Barcelona;De 65 a 69 años;290.112
Barcelona;De 70 a 74 años  ;261.871
Barcelona;De 75 a 79 años  ;217.656
Barcelona;De 80 a 84 años  ;147.447
Barcelona;De 85 a 89 años  ;117.461
Barcelona;De 90 a 94 años  ;54.820
Barcelona;De 95 a 99 años  ;14.564
Barcelona;100 y más años;2.002
Girona;De 0 a 4 años;33.734
Girona;De 5 a 9 años;40.852
Girona;De 10 a 14 años  ;45.912
Girona;De 15 a 19 años  ;44.082
Girona;De 20 a 24 años;42.631
Girona;De 25 a 29 años;43.592
Girona;De 30 a 34 años;46.592
Girona;De 35 a 39 años;52.459
Girona;De 40 a 44 años;65.488
Girona;De 45 a 49 años;66.197
Girona;De 50 a 54 años;60.071
Girona;De 55 a 59 años;55.746
Girona;De 60 a 64 años;49.315
Girona;De 65 a 69 años;41.765
Girona;De 70 a 74 años  ;35.588
Girona;De 75 a 79 años  ;27.284
Girona;De 80 a 84 años  ;18.061
Girona;De 85 a 89 años  ;14.780
Girona;De 90 a 94 años  ;7.169
Girona;De 95 a 99 años  ;1.836
Girona;100 y más años;324
Lleida;De 0 a 4 años;17.873
Lleida;De 5 a 9 años;21.751
Lleida;De 10 a 14 años  ;24.474
Lleida;De 15 a 19 años  ;23.134
Lleida;De 20 a 24 años;23.215
Lleida;De 25 a 29 años;23.522
Lleida;De 30 a 34 años;25.177
Lleida;De 35 a 39 años;28.439
Lleida;De 40 a 44 años;35.870
Lleida;De 45 a 49 años;37.192
Lleida;De 50 a 54 años;33.771
Lleida;De 55 a 59 años;31.807
Lleida;De 60 a 64 años;28.389
Lleida;De 65 a 69 años;23.026
Lleida;De 70 a 74 años  ;19.592
Lleida;De 75 a 79 años  ;16.177
