;Provincias;Porcentaje con dispositivo;Renta normalizada;Mediana edad;Producción media;Familia de 1 padres y 0 hijos;Familia de 1 padres y 1 hijos;Familia de 1 padres y 2 hijos;Familia de 2 padres y 0 hijos;Familia de 2 padres y 1 hijos;Familia de 2 padres y 2 hijos
26;Lugo;2.8206825804480204;0.23297272826612958;52;108.46083333333333;0.06037995011799212;0.10997795070666178;0.02674315929710777;0.43170141022529523;0.2249905761216997;0.14620695353124338
27;Madrid;7.618574712083433;0.8972041399334986;42;133.45602564102563;0.0365491795018875;0.09333627890992995;0.0425405856529749;0.37586074140679704;0.2013102648176714;0.25040294971073923
28;Murcia;4.774558746962079;0.32871259307825595;42;139.08458333333334;0.03395806465033074;0.08805290917243323;0.043933426707899396;0.33581677321536707;0.20147642754457248;0.2967623987093971
29;Málaga;6.0583362707084945;0.20579465804961047;42;134.5533333333333;0.041060847426215547;0.08665464227084867;0.056228397355983215;0.37184650767593275;0.19869115700545958;0.24551844826556024
30;Navarra;6.4650613385626166;0.6711000796141057;42;117.03888888888889;0.037761154558162376;0.0887615161671605;0.04276701046507235;0.3658997317616835;0.18928072192268044;0.27552986512524086
31;Ourense;2.8646559323694065;0.16640909161866393;52;114.13861111111112;0.05388621794871795;0.11192502598752599;0.026171604296604298;0.46555569993069995;0.19952464483714483;0.142936806999307
32;Palencia;4.656689478829811;0.3148659829219937;52;126.8851111111111;0.04660452729693742;0.08073980455437947;0.03851362025773545;0.4256584441084204;0.19954185379945383;0.2089417499830734
33;Pontevedra;3.6229160514376226;0.34541594467600173;47;110.76714285714286;0.04774121661860992;0.10270753614734529;0.03696556156531671;0.3884038582783053;0.22977294280170524;0.19440888458871752
34;Rioja, La;4.419237127381597;0.3578263788070372;47;112.60520833333334;0.03436337922033954;0.08801349853383643;0.04782368905319143;0.3953017239025616;0.2004029902091945;0.23409471908087653
35;Salamanca;4.042366773596371;0.22825832435723306;52;129.2930681818182;0.0508930032679221;0.09240458881726561;0.04427796871452932;0.41765522629964574;0.20211491048849892;0.1926543024121383
36;Segovia;4.45177769668893;0.3599494216269375;47;124.00810606060607;0.04838728014825426;0.07957297315733824;0.041577134281523924;0.3808792932910399;0.20249667451140899;0.24708664461043464
37;Sevilla;12.301336612791774;0.2801479885730342;42;138.05325757575756;0.036402129182792196;0.08854120171748944;0.053124545990803414;0.33720608648010936;0.2043115776502322;0.28041445897857337
38;Soria;9.921941376380628;0.40932577779859175;47;126.52544117647058;0.044271362915361774;0.07495831130272095;0.03444909911741977;0.4063326147964371;0.19833651929881646;0.24165209256924391
39;Tarragona;5.281246455102047;0.42198598167314505;42;130.23958333333334;0.036732033154961076;0.09186927802555522;0.04626882913807828;0.3801433304315178;0.2235608164140987;0.22142571283578888
40;Teruel;5.284367535238234;0.3449944582338156;47;129.36509615384617;0.03903967146655435;0.08300207965883065;0.02653539368731408;0.3998078289941296;0.20246400084239344;0.2491510253507779
41;Toledo;4.016496934231516;0.2248396009928347;42;135.61903846153845;0.03166597337770383;0.07791577529514301;0.031294568576182555;0.3637241502258141;0.21055928611045083;0.2848402464147056
42;Valencia/València;3.6176838115770105;0.38408342309433485;47;130.34986842105263;0.04118182109599141;0.09822396926907193;0.042236326820641865;0.35177215730901357;0.21549716038103786;0.2510885651242433
43;Valladolid;3.979309406052906;0.4267003855820415;47;130.68428952991454;0.04147312213798257;0.07759009490951828;0.0369070624137897;0.4126868644304935;0.22005313352844158;0.21128972257977435
44;Zamora;3.3244380717197064;0.11723567336361788;52;130.4866176470588;0.04767129968300415;0.08893156140778671;0.0300536454523287;0.4572563602373405;0.2077846866617898;0.16830244655775015
45;Zaragoza;6.7367665658089955;0.4858802041867652;47;132.61621212121213;0.03418611270756696;0.09119983175269096;0.039162824596741294;0.3901578950231068;0.21140600722665703;0.23388732869323692
46;Ávila;4.210416883251898;0.12794455111693903;52;128.78916666666666;0.04690030517699164;0.09296330164046404;0.0355856203245673;0.39592583207553406;0.20813731862901716;0.2204876221534258
