Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Españoles/Extranjeros;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;;;Total;De 60 a 64 años;Total;1 de enero de 2018;2.703.945
Total Nacional;;;Total;De 60 a 64 años;Total;1 de enero de 2017;2.625.861
Total Nacional;;;Total;De 60 a 64 años;Total;1 de enero de 2016;2.561.966
Total Nacional;;;Total;De 60 a 64 años;Total;1 de enero de 2015;2.505.943
Total Nacional;;;Total;De 65 a 69 años;Total;1 de enero de 2022;2.548.001
Total Nacional;;;Total;De 65 a 69 años;Total;1 de enero de 2021;2.480.872
Total Nacional;;;Total;De 65 a 69 años;Total;1 de enero de 2020;2.424.312
Total Nacional;;;Total;De 65 a 69 años;Total;1 de enero de 2019;2.398.795
Total Nacional;;;Total;De 65 a 69 años;Total;1 de enero de 2018;2.396.644
Total Nacional;;;Total;De 65 a 69 años;Total;1 de enero de 2017;2.358.764
Total Nacional;;;Total;De 65 a 69 años;Total;1 de enero de 2016;2.340.046
Total Nacional;;;Total;De 65 a 69 años;Total;1 de enero de 2015;2.354.952
Total Nacional;;;Total;De 70 a 74 años  ;Total;1 de enero de 2022;2.225.627
Total Nacional;;;Total;De 70 a 74 años  ;Total;1 de enero de 2021;2.199.993
Total Nacional;;;Total;De 70 a 74 años  ;Total;1 de enero de 2020;2.212.176
Total Nacional;;;Total;De 70 a 74 años  ;Total;1 de enero de 2019;2.175.840
Total Nacional;;;Total;De 70 a 74 años  ;Total;1 de enero de 2018;2.114.482
Total Nacional;;;Total;De 70 a 74 años  ;Total;1 de enero de 2017;2.041.693
Total Nacional;;;Total;De 70 a 74 años  ;Total;1 de enero de 2016;1.965.457
Total Nacional;;;Total;De 70 a 74 años  ;Total;1 de enero de 2015;1.944.885
Total Nacional;;;Total;De 75 a 79 años  ;Total;1 de enero de 2022;1.840.899
Total Nacional;;;Total;De 75 a 79 años  ;Total;1 de enero de 2021;1.767.146
Total Nacional;;;Total;De 75 a 79 años  ;Total;1 de enero de 2020;1.747.869
Total Nacional;;;Total;De 75 a 79 años  ;Total;1 de enero de 2019;1.618.039
Total Nacional;;;Total;De 75 a 79 años  ;Total;1 de enero de 2018;1.525.430
Total Nacional;;;Total;De 75 a 79 años  ;Total;1 de enero de 2017;1.519.877
Total Nacional;;;Total;De 75 a 79 años  ;Total;1 de enero de 2016;1.573.274
Total Nacional;;;Total;De 75 a 79 años  ;Total;1 de enero de 2015;1.548.072
Total Nacional;;;Total;De 80 a 84 años  ;Total;1 de enero de 2022;1.256.786
Total Nacional;;;Total;De 80 a 84 años  ;Total;1 de enero de 2021;1.294.253
Total Nacional;;;Total;De 80 a 84 años  ;Total;1 de enero de 2020;1.273.071
Total Nacional;;;Total;De 80 a 84 años  ;Total;1 de enero de 2019;1.353.814
Total Nacional;;;Total;De 80 a 84 años  ;Total;1 de enero de 2018;1.413.284
Total Nacional;;;Total;De 80 a 84 años  ;Total;1 de enero de 2017;1.439.758
Total Nacional;;;Total;De 80 a 84 años  ;Total;1 de enero de 2016;1.425.954
Total Nacional;;;Total;De 80 a 84 años  ;Total;1 de enero de 2015;1.423.331
Total Nacional;;;Total;De 85 a 89 años  ;Total;1 de enero de 2022;1.004.545
Total Nacional;;;Total;De 85 a 89 años  ;Total;1 de enero de 2021;991.099
Total Nacional;;;Total;De 85 a 89 años  ;Total;1 de enero de 2020;996.416
Total Nacional;;;Total;De 85 a 89 años  ;Total;1 de enero de 2019;975.247
Total Nacional;;;Total;De 85 a 89 años  ;Total;1 de enero de 2018;948.377
Total Nacional;;;Total;De 85 a 89 años  ;Total;1 de enero de 2017;912.917
Total Nacional;;;Total;De 85 a 89 años  ;Total;1 de enero de 2016;886.389
Total Nacional;;;Total;De 85 a 89 años  ;Total;1 de enero de 2015;854.272
Total Nacional;;;Total;De 90 a 94 años  ;Total;1 de enero de 2022;464.255
Total Nacional;;;Total;De 90 a 94 años  ;Total;1 de enero de 2021;446.746
Total Nacional;;;Total;De 90 a 94 años  ;Total;1 de enero de 2020;435.917
Total Nacional;;;Total;De 90 a 94 años  ;Total;1 de enero de 2019;415.548
Total Nacional;;;Total;De 90 a 94 años  ;Total;1 de enero de 2018;397.134
Total Nacional;;;Total;De 90 a 94 años  ;Total;1 de enero de 2017;385.916
Total Nacional;;;Total;De 90 a 94 años  ;Total;1 de enero de 2016;368.545
Total Nacional;;;Total;De 90 a 94 años  ;Total;1 de enero de 2015;355.574
Total Nacional;;;Total;De 95 a 99 años  ;Total;1 de enero de 2022;119.258
Total Nacional;;;Total;De 95 a 99 años  ;Total;1 de enero de 2021;112.699
Total Nacional;;;Total;De 95 a 99 años  ;Total;1 de enero de 2020;111.312
Total Nacional;;;Total;De 95 a 99 años  ;Total;1 de enero de 2019;103.607
Total Nacional;;;Total;De 95 a 99 años  ;Total;1 de enero de 2018;97.293
Total Nacional;;;Total;De 95 a 99 años  ;Total;1 de enero de 2017;89.898
Total Nacional;;;Total;De 95 a 99 años  ;Total;1 de enero de 2016;83.177
Total Nacional;;;Total;De 95 a 99 años  ;Total;1 de enero de 2015;78.412
Total Nacional;;;Total;100 y más años;Total;1 de enero de 2022;19.639
Total Nacional;;;Total;100 y más años;Total;1 de enero de 2021;18.020
Total Nacional;;;Total;100 y más años;Total;1 de enero de 2020;17.308
Total Nacional;;;Total;100 y más años;Total;1 de enero de 2019;16.303
Total Nacional;;;Total;100 y más años;Total;1 de enero de 2018;15.507
Total Nacional;;;Total;100 y más años;Total;1 de enero de 2017;15.381
Total Nacional;;;Total;100 y más años;Total;1 de enero de 2016;14.863
Total Nacional;;;Total;100 y más años;Total;1 de enero de 2015;14.487
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;1 de enero de 2022;8.500.187
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;1 de enero de 2021;8.472.407
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;1 de enero de 2020;8.464.411
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;1 de enero de 2019;8.414.240
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;1 de enero de 2018;8.384.408
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;1 de enero de 2017;8.379.820
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;1 de enero de 2016;8.388.107
Total Nacional;01 Andalucía;;Total;Todas las edades;Total;1 de enero de 2015;8.399.043
Total Nacional;01 Andalucía;;Total;De 0 a 4 años;Total;1 de enero de 2022;345.555
Total Nacional;01 Andalucía;;Total;De 0 a 4 años;Total;1 de enero de 2021;358.486
Total Nacional;01 Andalucía;;Total;De 0 a 4 años;Total;1 de enero de 2020;373.993
Total Nacional;01 Andalucía;;Total;De 0 a 4 años;Total;1 de enero de 2019;385.011
Total Nacional;01 Andalucía;;Total;De 0 a 4 años;Total;1 de enero de 2018;394.239
Total Nacional;01 Andalucía;;Total;De 0 a 4 años;Total;1 de enero de 2017;404.575
Total Nacional;01 Andalucía;;Total;De 0 a 4 años;Total;1 de enero de 2016;414.431
Total Nacional;01 Andalucía;;Total;De 0 a 4 años;Total;1 de enero de 2015;425.034
Total Nacional;01 Andalucía;;Total;De 5 a 9 años;Total;1 de enero de 2022;423.786
Total Nacional;01 Andalucía;;Total;De 5 a 9 años;Total;1 de enero de 2021;430.752
Total Nacional;01 Andalucía;;Total;De 5 a 9 años;Total;1 de enero de 2020;440.262
Total Nacional;01 Andalucía;;Total;De 5 a 9 años;Total;1 de enero de 2019;448.571
Total Nacional;01 Andalucía;;Total;De 5 a 9 años;Total;1 de enero de 2018;465.623
Total Nacional;01 Andalucía;;Total;De 5 a 9 años;Total;1 de enero de 2017;475.792
Total Nacional;01 Andalucía;;Total;De 5 a 9 años;Total;1 de enero de 2016;485.385
Total Nacional;01 Andalucía;;Total;De 5 a 9 años;Total;1 de enero de 2015;489.699
Total Nacional;01 Andalucía;;Total;De 10 a 14 años  ;Total;1 de enero de 2022;484.477
Total Nacional;01 Andalucía;;Total;De 10 a 14 años  ;Total;1 de enero de 2021;490.668
Total Nacional;01 Andalucía;;Total;De 10 a 14 años  ;Total;1 de enero de 2020;493.156
Total Nacional;01 Andalucía;;Total;De 10 a 14 años  ;Total;1 de enero de 2019;489.369
Total Nacional;01 Andalucía;;Total;De 10 a 14 años  ;Total;1 de enero de 2018;478.644
Total Nacional;01 Andalucía;;Total;De 10 a 14 años  ;Total;1 de enero de 2017;469.149
Total Nacional;01 Andalucía;;Total;De 10 a 14 años  ;Total;1 de enero de 2016;459.992
Total Nacional;01 Andalucía;;Total;De 10 a 14 años  ;Total;1 de enero de 2015;454.105
Total Nacional;01 Andalucía;;Total;De 15 a 19 años  ;Total;1 de enero de 2022;477.131
Total Nacional;01 Andalucía;;Total;De 15 a 19 años  ;Total;1 de enero de 2021;465.342
Total Nacional;01 Andalucía;;Total;De 15 a 19 años  ;Total;1 de enero de 2020;457.932
Total Nacional;01 Andalucía;;Total;De 15 a 19 años  ;Total;1 de enero de 2019;448.704
Total Nacional;01 Andalucía;;Total;De 15 a 19 años  ;Total;1 de enero de 2018;440.123
Total Nacional;01 Andalucía;;Total;De 15 a 19 años  ;Total;1 de enero de 2017;436.964
Total Nacional;01 Andalucía;;Total;De 15 a 19 años  ;Total;1 de enero de 2016;434.358
Total Nacional;01 Andalucía;;Total;De 15 a 19 años  ;Total;1 de enero de 2015;433.083
Total Nacional;01 Andalucía;;Total;De 20 a 24 años;Total;1 de enero de 2022;453.539
Total Nacional;01 Andalucía;;Total;De 20 a 24 años;Total;1 de enero de 2021;447.653
Total Nacional;01 Andalucía;;Total;De 20 a 24 años;Total;1 de enero de 2020;444.622
Total Nacional;01 Andalucía;;Total;De 20 a 24 años;Total;1 de enero de 2019;442.090
Total Nacional;01 Andalucía;;Total;De 20 a 24 años;Total;1 de enero de 2018;448.100
Total Nacional;01 Andalucía;;Total;De 20 a 24 años;Total;1 de enero de 2017;457.734
Total Nacional;01 Andalucía;;Total;De 20 a 24 años;Total;1 de enero de 2016;470.267
Total Nacional;01 Andalucía;;Total;De 20 a 24 años;Total;1 de enero de 2015;481.917
Total Nacional;01 Andalucía;;Total;De 25 a 29 años;Total;1 de enero de 2022;468.002
