Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;02 Aragón;44 Teruel;;Viviendas con cosumo entre 4.001 y 5.000 kwh;3.739
Total Nacional;02 Aragón;44 Teruel;;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.974
Total Nacional;02 Aragón;44 Teruel;;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.165
Total Nacional;02 Aragón;44 Teruel;;Viviendas con cosumo entre 7.001 y 8.000 kwh;819
Total Nacional;02 Aragón;44 Teruel;;Viviendas con cosumo entre 8.001 y 9.000 kwh;622
Total Nacional;02 Aragón;44 Teruel;;Viviendas con cosumo entre 9.001 y 10.000 kwh;490
Total Nacional;02 Aragón;44 Teruel;;Viviendas con consumo mayor de 10.000 kwh;1.826
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas totales;543.799
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas vacías;67.164
Total Nacional;02 Aragón;50 Zaragoza;;Mediana consumo anual;2.027
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con bajo consumo;16.384
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas de uso esporádico;45.709
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas de uso esporádico (entre 251 y 500 kwh);21.850
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas de uso esporádico (entre 501 y 750 kwh);23.859
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con cosumo entre 751 y 1.000 kwh;29.407
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con cosumo entre 1.001 y 2.000 kwh;151.123
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con cosumo entre 2.001 y 3.000 kwh;118.131
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con cosumo entre 3.001 y 4.000 kwh;58.005
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con cosumo entre 4.001 y 5.000 kwh;25.649
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con cosumo entre 5.001 y 6.000 kwh;11.972
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con cosumo entre 6.001 y 7.000 kwh;6.417
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con cosumo entre 7.001 y 8.000 kwh;4.007
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.595
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.827
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas con consumo mayor de 10.000 kwh;5.409
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas totales;674.342
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas vacías;100.646
Total Nacional;03 Asturias, Principado de;33 Asturias;;Mediana consumo anual;1.792
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con bajo consumo;27.516
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas de uso esporádico;77.587
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas de uso esporádico (entre 251 y 500 kwh);37.927
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas de uso esporádico (entre 501 y 750 kwh);39.660
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con cosumo entre 751 y 1.000 kwh;43.961
