Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas con cosumo entre 5.001 y 6.000 kwh;19.316
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas con cosumo entre 6.001 y 7.000 kwh;11.995
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas con cosumo entre 7.001 y 8.000 kwh;7.761
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas con cosumo entre 8.001 y 9.000 kwh;5.344
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas con cosumo entre 9.001 y 10.000 kwh;3.779
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas con consumo mayor de 10.000 kwh;11.869
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas totales;2.597.046
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas vacías;213.464
Total Nacional;09 Cataluña;08 Barcelona;;Mediana consumo anual;2.229
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con bajo consumo;50.201
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas de uso esporádico;166.016
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas de uso esporádico (entre 251 y 500 kwh);72.872
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas de uso esporádico (entre 501 y 750 kwh);93.144
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con cosumo entre 751 y 1.000 kwh;127.093
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con cosumo entre 1.001 y 2.000 kwh;713.154
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con cosumo entre 2.001 y 3.000 kwh;598.741
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con cosumo entre 3.001 y 4.000 kwh;336.109
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con cosumo entre 4.001 y 5.000 kwh;166.925
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con cosumo entre 5.001 y 6.000 kwh;85.043
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con cosumo entre 6.001 y 7.000 kwh;47.454
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con cosumo entre 7.001 y 8.000 kwh;28.267
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con cosumo entre 8.001 y 9.000 kwh;17.722
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con cosumo entre 9.001 y 10.000 kwh;12.060
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas con consumo mayor de 10.000 kwh;34.797
Total Nacional;09 Cataluña;17 Girona;;Viviendas totales;507.421
Total Nacional;09 Cataluña;17 Girona;;Viviendas vacías;76.286
Total Nacional;09 Cataluña;17 Girona;;Mediana consumo anual;2.107
Total Nacional;09 Cataluña;17 Girona;;Viviendas con bajo consumo;21.277
Total Nacional;09 Cataluña;17 Girona;;Viviendas de uso esporádico;61.597
Total Nacional;09 Cataluña;17 Girona;;Viviendas de uso esporádico (entre 251 y 500 kwh);31.463
Total Nacional;09 Cataluña;17 Girona;;Viviendas de uso esporádico (entre 501 y 750 kwh);30.134
Total Nacional;09 Cataluña;17 Girona;;Viviendas con cosumo entre 751 y 1.000 kwh;28.219
Total Nacional;09 Cataluña;17 Girona;;Viviendas con cosumo entre 1.001 y 2.000 kwh;105.133
Total Nacional;09 Cataluña;17 Girona;;Viviendas con cosumo entre 2.001 y 3.000 kwh;81.844
Total Nacional;09 Cataluña;17 Girona;;Viviendas con cosumo entre 3.001 y 4.000 kwh;51.743
Total Nacional;09 Cataluña;17 Girona;;Viviendas con cosumo entre 4.001 y 5.000 kwh;29.621
Total Nacional;09 Cataluña;17 Girona;;Viviendas con cosumo entre 5.001 y 6.000 kwh;17.369
Total Nacional;09 Cataluña;17 Girona;;Viviendas con cosumo entre 6.001 y 7.000 kwh;10.806
Total Nacional;09 Cataluña;17 Girona;;Viviendas con cosumo entre 7.001 y 8.000 kwh;6.727
Total Nacional;09 Cataluña;17 Girona;;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.452
Total Nacional;09 Cataluña;17 Girona;;Viviendas con cosumo entre 9.001 y 10.000 kwh;3.126
Total Nacional;09 Cataluña;17 Girona;;Viviendas con consumo mayor de 10.000 kwh;9.221
Total Nacional;09 Cataluña;25 Lleida;;Viviendas totales;256.081
Total Nacional;09 Cataluña;25 Lleida;;Viviendas vacías;40.956
Total Nacional;09 Cataluña;25 Lleida;;Mediana consumo anual;2.253
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con bajo consumo;9.746
Total Nacional;09 Cataluña;25 Lleida;;Viviendas de uso esporádico;24.527
Total Nacional;09 Cataluña;25 Lleida;;Viviendas de uso esporádico (entre 251 y 500 kwh);12.454
Total Nacional;09 Cataluña;25 Lleida;;Viviendas de uso esporádico (entre 501 y 750 kwh);12.073
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con cosumo entre 751 y 1.000 kwh;12.367
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con cosumo entre 1.001 y 2.000 kwh;53.142
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con cosumo entre 2.001 y 3.000 kwh;44.396
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con cosumo entre 3.001 y 4.000 kwh;28.228
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con cosumo entre 4.001 y 5.000 kwh;15.870
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con cosumo entre 5.001 y 6.000 kwh;9.057
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con cosumo entre 6.001 y 7.000 kwh;5.341
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con cosumo entre 7.001 y 8.000 kwh;3.510
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.344
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.570
Total Nacional;09 Cataluña;25 Lleida;;Viviendas con consumo mayor de 10.000 kwh;5.027
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas totales;554.579
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas vacías;87.906
Total Nacional;09 Cataluña;43 Tarragona;;Mediana consumo anual;2.150
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con bajo consumo;25.885
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas de uso esporádico;69.828
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas de uso esporádico (entre 251 y 500 kwh);36.611
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas de uso esporádico (entre 501 y 750 kwh);33.217
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con cosumo entre 751 y 1.000 kwh;29.802
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con cosumo entre 1.001 y 2.000 kwh;106.124
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con cosumo entre 2.001 y 3.000 kwh;88.225
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con cosumo entre 3.001 y 4.000 kwh;59.255
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con cosumo entre 4.001 y 5.000 kwh;35.413
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con cosumo entre 5.001 y 6.000 kwh;20.198
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con cosumo entre 6.001 y 7.000 kwh;11.657
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con cosumo entre 7.001 y 8.000 kwh;6.722
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.111
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.707
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas con consumo mayor de 10.000 kwh;6.746
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas totales;1.350.006
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas vacías;209.028
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Mediana consumo anual;2.170
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con bajo consumo;70.478
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas de uso esporádico;163.277
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas de uso esporádico (entre 251 y 500 kwh);87.720
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas de uso esporádico (entre 501 y 750 kwh);75.557
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con cosumo entre 751 y 1.000 kwh;69.795
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con cosumo entre 1.001 y 2.000 kwh;260.808
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con cosumo entre 2.001 y 3.000 kwh;221.835
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con cosumo entre 3.001 y 4.000 kwh;150.093
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con cosumo entre 4.001 y 5.000 kwh;87.381
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con cosumo entre 5.001 y 6.000 kwh;47.578
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con cosumo entre 6.001 y 7.000 kwh;25.497
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con cosumo entre 7.001 y 8.000 kwh;14.578
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con cosumo entre 8.001 y 9.000 kwh;8.906
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con cosumo entre 9.001 y 10.000 kwh;5.611
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas con consumo mayor de 10.000 kwh;15.141
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas totales;446.872
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas vacías;77.608
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Mediana consumo anual;1.932
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con bajo consumo;27.521
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas de uso esporádico;66.405
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas de uso esporádico (entre 251 y 500 kwh);36.399
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas de uso esporádico (entre 501 y 750 kwh);30.006
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con cosumo entre 751 y 1.000 kwh;25.092
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con cosumo entre 1.001 y 2.000 kwh;84.803
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con cosumo entre 2.001 y 3.000 kwh;68.690
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con cosumo entre 3.001 y 4.000 kwh;43.972
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con cosumo entre 4.001 y 5.000 kwh;24.298
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con cosumo entre 5.001 y 6.000 kwh;12.181
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con cosumo entre 6.001 y 7.000 kwh;6.364
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con cosumo entre 7.001 y 8.000 kwh;3.436
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.939
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.240
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas con consumo mayor de 10.000 kwh;3.323
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas totales;1.488.908
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas vacías;172.575
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Mediana consumo anual;2.273
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con bajo consumo;49.426
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas de uso esporádico;140.070
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas de uso esporádico (entre 251 y 500 kwh);69.748
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas de uso esporádico (entre 501 y 750 kwh);70.322
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con cosumo entre 751 y 1.000 kwh;73.121
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con cosumo entre 1.001 y 2.000 kwh;330.005
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con cosumo entre 2.001 y 3.000 kwh;301.850
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con cosumo entre 3.001 y 4.000 kwh;197.849
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con cosumo entre 4.001 y 5.000 kwh;106.687
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con cosumo entre 5.001 y 6.000 kwh;53.182
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con cosumo entre 6.001 y 7.000 kwh;26.590
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con cosumo entre 7.001 y 8.000 kwh;13.610
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con cosumo entre 8.001 y 9.000 kwh;7.548
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con cosumo entre 9.001 y 10.000 kwh;4.586
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas con consumo mayor de 10.000 kwh;11.809
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas totales;398.348
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas vacías;62.089
Total Nacional;11 Extremadura;06 Badajoz;;Mediana consumo anual;2.401
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con bajo consumo;17.573
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas de uso esporádico;37.985
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas de uso esporádico (entre 251 y 500 kwh);20.088
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas de uso esporádico (entre 501 y 750 kwh);17.897
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con cosumo entre 751 y 1.000 kwh;17.386
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con cosumo entre 1.001 y 2.000 kwh;73.481
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con cosumo entre 2.001 y 3.000 kwh;72.426
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con cosumo entre 3.001 y 4.000 kwh;51.565
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con cosumo entre 4.001 y 5.000 kwh;30.199
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con cosumo entre 5.001 y 6.000 kwh;15.627
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con cosumo entre 6.001 y 7.000 kwh;7.951
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con cosumo entre 7.001 y 8.000 kwh;4.186
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.381
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.487
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas con consumo mayor de 10.000 kwh;4.012
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas totales;300.157
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas vacías;61.335
Total Nacional;11 Extremadura;10 Cáceres;;Mediana consumo anual;2.052
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con bajo consumo;20.458
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas de uso esporádico;36.159
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas de uso esporádico (entre 251 y 500 kwh);20.097
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas de uso esporádico (entre 501 y 750 kwh);16.062
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 751 y 1.000 kwh;14.623
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 1.001 y 2.000 kwh;55.671
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 2.001 y 3.000 kwh;46.872
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 3.001 y 4.000 kwh;29.205
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 4.001 y 5.000 kwh;15.277
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 5.001 y 6.000 kwh;7.750
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.266
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.579
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.582
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.092
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con consumo mayor de 10.000 kwh;3.288
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas totales;686.961
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas vacías;163.164
Total Nacional;12 Galicia;15 Coruña, A;;Mediana consumo anual;2.580
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con bajo consumo;19.077
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas de uso esporádico;54.327
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas de uso esporádico (entre 251 y 500 kwh);27.891
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas de uso esporádico (entre 501 y 750 kwh);26.436
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 751 y 1.000 kwh;27.262
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 1.001 y 2.000 kwh;112.190
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 2.001 y 3.000 kwh;95.147
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 3.001 y 4.000 kwh;64.632
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 4.001 y 5.000 kwh;41.828
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 5.001 y 6.000 kwh;27.682
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 6.001 y 7.000 kwh;18.786
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 7.001 y 8.000 kwh;13.684
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 8.001 y 9.000 kwh;10.217
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 9.001 y 10.000 kwh;7.922
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con consumo mayor de 10.000 kwh;31.043
Total Nacional;12 Galicia;27 Lugo;;Viviendas totales;269.067
Total Nacional;12 Galicia;27 Lugo;;Viviendas vacías;100.441
Total Nacional;12 Galicia;27 Lugo;;Mediana consumo anual;1.992
Total Nacional;12 Galicia;27 Lugo;;Viviendas con bajo consumo;10.841
Total Nacional;12 Galicia;27 Lugo;;Viviendas de uso esporádico;25.558
Total Nacional;12 Galicia;27 Lugo;;Viviendas de uso esporádico (entre 251 y 500 kwh);13.452
Total Nacional;12 Galicia;27 Lugo;;Viviendas de uso esporádico (entre 501 y 750 kwh);12.106
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 751 y 1.000 kwh;11.600
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 1.001 y 2.000 kwh;42.069
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 2.001 y 3.000 kwh;29.853
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 3.001 y 4.000 kwh;17.220
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 4.001 y 5.000 kwh;9.873
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.896
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.006
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.567
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.990
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.484
Total Nacional;12 Galicia;27 Lugo;;Viviendas con consumo mayor de 10.000 kwh;5.669
Total Nacional;12 Galicia;32 Ourense;;Viviendas totales;272.883
Total Nacional;12 Galicia;32 Ourense;;Viviendas vacías;119.348
Total Nacional;12 Galicia;32 Ourense;;Mediana consumo anual;2.184
Total Nacional;12 Galicia;32 Ourense;;Viviendas con bajo consumo;9.911
Total Nacional;12 Galicia;32 Ourense;;Viviendas de uso esporádico;20.860
Total Nacional;12 Galicia;32 Ourense;;Viviendas de uso esporádico (entre 251 y 500 kwh);11.081
Total Nacional;12 Galicia;32 Ourense;;Viviendas de uso esporádico (entre 501 y 750 kwh);9.779
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 751 y 1.000 kwh;9.557
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 1.001 y 2.000 kwh;35.671
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 2.001 y 3.000 kwh;27.221
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 3.001 y 4.000 kwh;16.803
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 4.001 y 5.000 kwh;9.833
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.948
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.030
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.759
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.081
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.657
Total Nacional;12 Galicia;32 Ourense;;Viviendas con consumo mayor de 10.000 kwh;7.204
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas totales;528.828
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas vacías;123.417
Total Nacional;12 Galicia;36 Pontevedra;;Mediana consumo anual;2.532
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con bajo consumo;14.782
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas de uso esporádico;41.418
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas de uso esporádico (entre 251 y 500 kwh);21.493
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas de uso esporádico (entre 501 y 750 kwh);19.925
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 751 y 1.000 kwh;21.036
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 1.001 y 2.000 kwh;88.600
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 2.001 y 3.000 kwh;77.811
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 3.001 y 4.000 kwh;52.503
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 4.001 y 5.000 kwh;33.541
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 5.001 y 6.000 kwh;21.458
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 6.001 y 7.000 kwh;14.031
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 7.001 y 8.000 kwh;9.756
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 8.001 y 9.000 kwh;6.983
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 9.001 y 10.000 kwh;5.109
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con consumo mayor de 10.000 kwh;18.383
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas totales;2.956.941
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas vacías;187.858
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Mediana consumo anual;2.281
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con bajo consumo;53.976
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas de uso esporádico;186.609
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas de uso esporádico (entre 251 y 500 kwh);84.014
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas de uso esporádico (entre 501 y 750 kwh);102.595
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 751 y 1.000 kwh;139.852
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 1.001 y 2.000 kwh;803.063
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 2.001 y 3.000 kwh;700.583
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 3.001 y 4.000 kwh;385.603
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 4.001 y 5.000 kwh;193.779
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 5.001 y 6.000 kwh;104.596
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 6.001 y 7.000 kwh;61.127
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 7.001 y 8.000 kwh;38.846
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 8.001 y 9.000 kwh;26.095
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 9.001 y 10.000 kwh;17.923
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con consumo mayor de 10.000 kwh;57.031
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas totales;844.100
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas vacías;103.163
Total Nacional;14 Murcia, Región de;30 Murcia;;Mediana consumo anual;2.487
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con bajo consumo;30.030
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas de uso esporádico;85.245
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas de uso esporádico (entre 251 y 500 kwh);43.636
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas de uso esporádico (entre 501 y 750 kwh);41.609
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 751 y 1.000 kwh;40.119
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 1.001 y 2.000 kwh;156.152
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 2.001 y 3.000 kwh;145.255
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 3.001 y 4.000 kwh;110.133
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 4.001 y 5.000 kwh;71.912
