Provincias;Tipo de núcleo familiar;Número de hijos;Total
Almería;Padre sólo con hijos convivientes;Total;5.598
Almería;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Almería;Madre sóla con hijos convivientes;1 hijo conviviendo;19.092
Almería;Madre sóla con hijos convivientes;2 o más hijos conviviendo;8.564
Almería;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;10.566
Almería;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;11.397
Almería;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;5.693
Almería;Madre sóla con hijos convivientes;Total;27.656
Araba/Álava;Total;0 hijos conviviendo;34.648
Araba/Álava;Total;1 hijo conviviendo;32.791
Araba/Álava;Total;2 o más hijos conviviendo;28.090
Araba/Álava;Total;0 hijos conviviendo menores de 25 años;48.464
Araba/Álava;Total;1 hijo conviviendo menor de 25 años;23.033
Araba/Álava;Total;2 hijos o más conviviendo menores de 25 años;24.033
Araba/Álava;Total;Total;95.530
Araba/Álava;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;27.722
Araba/Álava;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;17.142
Araba/Álava;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;20.801
Araba/Álava;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;35.084
Araba/Álava;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;12.866
Araba/Álava;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;17.714
Araba/Álava;Pareja casada, con o sin hijos convivientes;Total;65.664
Araba/Álava;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;6.926
Araba/Álava;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;3.604
Araba/Álava;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;2.484
Araba/Álava;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;6.926
Araba/Álava;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;3.604
