Provincias;Tipo de núcleo familiar;Número de hijos;Total
Gipuzkoa;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;2.243
Gipuzkoa;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.817
Gipuzkoa;Padre sólo con hijos convivientes;Total;7.135
Gipuzkoa;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Gipuzkoa;Madre sóla con hijos convivientes;1 hijo conviviendo;18.960
Gipuzkoa;Madre sóla con hijos convivientes;2 o más hijos conviviendo;7.136
Gipuzkoa;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;14.184
Gipuzkoa;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;6.953
Gipuzkoa;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.959
Gipuzkoa;Madre sóla con hijos convivientes;Total;26.096
Girona;Total;0 hijos conviviendo;73.269
Girona;Total;1 hijo conviviendo;75.974
Girona;Total;2 o más hijos conviviendo;70.112
Girona;Total;0 hijos conviviendo menores de 25 años;108.720
Girona;Total;1 hijo conviviendo menor de 25 años;51.860
Girona;Total;2 hijos o más conviviendo menores de 25 años;58.776
Girona;Total;Total;219.355
Girona;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;58.873
Girona;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;40.885
Girona;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;49.930
Girona;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;76.507
Girona;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;29.519
Girona;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;43.662
Girona;Pareja casada, con o sin hijos convivientes;Total;149.688
Girona;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;14.396
Girona;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;10.908
Girona;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;9.391
Girona;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;14.538
Girona;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;11.346
Girona;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;8.811
Girona;Pareja no casada, con o sin hijos convivientes;Total;34.695
Girona;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Girona;Padre sólo con hijos convivientes;1 hijo conviviendo;5.793
Girona;Padre sólo con hijos convivientes;2 o más hijos conviviendo;1.542
Girona;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;3.948
Girona;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;2.010
Girona;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.377
Girona;Padre sólo con hijos convivientes;Total;7.335
Girona;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Girona;Madre sóla con hijos convivientes;1 hijo conviviendo;18.388
Girona;Madre sóla con hijos convivientes;2 o más hijos conviviendo;9.249
Girona;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;13.727
Girona;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;8.985
Girona;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.925
Girona;Madre sóla con hijos convivientes;Total;27.637
Granada;Total;0 hijos conviviendo;84.622
Granada;Total;1 hijo conviviendo;91.657
Granada;Total;2 o más hijos conviviendo;90.177
Granada;Total;0 hijos conviviendo menores de 25 años;126.956
Granada;Total;1 hijo conviviendo menor de 25 años;66.347
Granada;Total;2 hijos o más conviviendo menores de 25 años;73.153
Granada;Total;Total;266.456
Granada;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;67.198
Granada;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;48.712
Granada;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;66.879
Granada;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;89.140
Granada;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;38.579
Granada;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;55.069
Granada;Pareja casada, con o sin hijos convivientes;Total;182.789
Granada;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;17.424
Granada;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;9.799
Granada;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;8.189
Granada;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;17.661
Granada;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;9.744
Granada;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;8.006
Granada;Pareja no casada, con o sin hijos convivientes;Total;35.412
Granada;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Granada;Padre sólo con hijos convivientes;1 hijo conviviendo;4.959
Granada;Padre sólo con hijos convivientes;2 o más hijos conviviendo;3.217
Granada;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;4.200
Granada;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;2.442
Granada;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.534
Granada;Padre sólo con hijos convivientes;Total;8.176
Granada;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Granada;Madre sóla con hijos convivientes;1 hijo conviviendo;28.188
Granada;Madre sóla con hijos convivientes;2 o más hijos conviviendo;11.892
Granada;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;15.955
Granada;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;15.582
Granada;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;8.543
Granada;Madre sóla con hijos convivientes;Total;40.080
Guadalajara;Total;0 hijos conviviendo;23.211
Guadalajara;Total;1 hijo conviviendo;24.860
Guadalajara;Total;2 o más hijos conviviendo;26.023
Guadalajara;Total;0 hijos conviviendo menores de 25 años;34.498
Guadalajara;Total;1 hijo conviviendo menor de 25 años;18.248
Guadalajara;Total;2 hijos o más conviviendo menores de 25 años;21.348
Guadalajara;Total;Total;74.094
Guadalajara;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;17.593
Guadalajara;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;15.510
Guadalajara;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;19.778
Guadalajara;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;24.307
Guadalajara;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;12.096
Guadalajara;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;16.478
Guadalajara;Pareja casada, con o sin hijos convivientes;Total;52.881
Guadalajara;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;5.619
Guadalajara;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;2.074
Guadalajara;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;2.432
Guadalajara;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;5.821
Guadalajara;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;1.872
Guadalajara;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;2.432
Guadalajara;Pareja no casada, con o sin hijos convivientes;Total;10.125
Guadalajara;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Guadalajara;Padre sólo con hijos convivientes;1 hijo conviviendo;1.881
Guadalajara;Padre sólo con hijos convivientes;2 o más hijos conviviendo;1.103
Guadalajara;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;1.559
Guadalajara;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;938
Guadalajara;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;487
Guadalajara;Padre sólo con hijos convivientes;Total;2.984
Guadalajara;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Guadalajara;Madre sóla con hijos convivientes;1 hijo conviviendo;5.394
Guadalajara;Madre sóla con hijos convivientes;2 o más hijos conviviendo;2.710
Guadalajara;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;2.812
Guadalajara;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;3.342
Guadalajara;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.951
Guadalajara;Madre sóla con hijos convivientes;Total;8.104
Huelva;Total;0 hijos conviviendo;45.489
Huelva;Total;1 hijo conviviendo;53.924
Huelva;Total;2 o más hijos conviviendo;52.151
Huelva;Total;0 hijos conviviendo menores de 25 años;73.536
Huelva;Total;1 hijo conviviendo menor de 25 años;36.970
Huelva;Total;2 hijos o más conviviendo menores de 25 años;41.058
Huelva;Total;Total;151.564
Huelva;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;38.893
Huelva;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;32.632
Huelva;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;40.182
Huelva;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;57.360
Huelva;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;23.144
Huelva;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;31.203
Huelva;Pareja casada, con o sin hijos convivientes;Total;111.707
Huelva;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;6.596
Huelva;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;4.079
Huelva;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;5.627
Huelva;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;6.710
Huelva;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;3.966
Huelva;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;5.627
Huelva;Pareja no casada, con o sin hijos convivientes;Total;16.302
Huelva;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Huelva;Padre sólo con hijos convivientes;1 hijo conviviendo;2.833
Huelva;Padre sólo con hijos convivientes;2 o más hijos conviviendo;788
Huelva;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;1.555
Huelva;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;1.500
Huelva;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;566
Huelva;Padre sólo con hijos convivientes;Total;3.621
Huelva;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Huelva;Madre sóla con hijos convivientes;1 hijo conviviendo;14.379
Huelva;Madre sóla con hijos convivientes;2 o más hijos conviviendo;5.555
Huelva;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;7.912
Huelva;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;8.361
Huelva;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;3.662
Huelva;Madre sóla con hijos convivientes;Total;19.935
Huesca;Total;0 hijos conviviendo;22.636
Huesca;Total;1 hijo conviviendo;23.927
Huesca;Total;2 o más hijos conviviendo;18.094
Huesca;Total;0 hijos conviviendo menores de 25 años;35.600
Huesca;Total;1 hijo conviviendo menor de 25 años;14.158
Huesca;Total;2 hijos o más conviviendo menores de 25 años;14.898
Huesca;Total;Total;64.656
Huesca;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;17.268
Huesca;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;13.525
Huesca;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;14.176
Huesca;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;24.429
Huesca;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;9.060
Huesca;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;11.480
Huesca;Pareja casada, con o sin hijos convivientes;Total;44.969
Huesca;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;5.368
Huesca;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;2.789
Huesca;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;1.469
Huesca;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;5.683
Huesca;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;2.474
Huesca;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.469
Huesca;Pareja no casada, con o sin hijos convivientes;Total;9.626
Huesca;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Huesca;Padre sólo con hijos convivientes;1 hijo conviviendo;1.925
Huesca;Padre sólo con hijos convivientes;2 o más hijos conviviendo;710
Huesca;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;1.272
Huesca;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;771
Huesca;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;592
Huesca;Padre sólo con hijos convivientes;Total;2.635
Huesca;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Huesca;Madre sóla con hijos convivientes;1 hijo conviviendo;5.688
Huesca;Madre sóla con hijos convivientes;2 o más hijos conviviendo;1.739
Huesca;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;4.216
Huesca;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;1.853
Huesca;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.357
Huesca;Madre sóla con hijos convivientes;Total;7.427
Jaén;Total;0 hijos conviviendo;55.345
Jaén;Total;1 hijo conviviendo;60.416
Jaén;Total;2 o más hijos conviviendo;65.994
Jaén;Total;0 hijos conviviendo menores de 25 años;90.060
Jaén;Total;1 hijo conviviendo menor de 25 años;42.670
Jaén;Total;2 hijos o más conviviendo menores de 25 años;49.025
Jaén;Total;Total;181.755
Jaén;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;48.203
Jaén;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;38.592
Jaén;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;51.289
Jaén;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;67.939
Jaén;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;30.381
Jaén;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;39.763
Jaén;Pareja casada, con o sin hijos convivientes;Total;138.083
Jaén;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;7.142
Jaén;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;3.356
Jaén;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;4.351
Jaén;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;7.384
Jaén;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;3.187
Jaén;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.278
Jaén;Pareja no casada, con o sin hijos convivientes;Total;14.849
Jaén;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Jaén;Padre sólo con hijos convivientes;1 hijo conviviendo;4.315
Jaén;Padre sólo con hijos convivientes;2 o más hijos conviviendo;1.134
Jaén;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;3.408
Jaén;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;1.661
Jaén;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;380
Jaén;Padre sólo con hijos convivientes;Total;5.449
Jaén;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Jaén;Madre sóla con hijos convivientes;1 hijo conviviendo;14.153
Jaén;Madre sóla con hijos convivientes;2 o más hijos conviviendo;9.220
Jaén;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;11.329
Jaén;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;7.440
Jaén;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.604
Jaén;Madre sóla con hijos convivientes;Total;23.373
León;Total;0 hijos conviviendo;48.610
León;Total;1 hijo conviviendo;54.647
León;Total;2 o más hijos conviviendo;29.332
León;Total;0 hijos conviviendo menores de 25 años;77.808
León;Total;1 hijo conviviendo menor de 25 años;31.992
León;Total;2 hijos o más conviviendo menores de 25 años;22.788
León;Total;Total;132.589
León;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;41.763
León;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;29.873
León;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;22.421
León;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;56.688
León;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;19.568
León;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;17.802
León;Pareja casada, con o sin hijos convivientes;Total;94.058
León;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;6.846
León;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;3.589
León;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;2.206
León;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;7.151
León;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;3.366
León;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;2.126
León;Pareja no casada, con o sin hijos convivientes;Total;12.642
León;Padre sólo con hijos convivientes;0 hijos conviviendo;0
León;Padre sólo con hijos convivientes;1 hijo conviviendo;4.135
León;Padre sólo con hijos convivientes;2 o más hijos conviviendo;1.404
León;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;2.460
León;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;1.950
León;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.130
León;Padre sólo con hijos convivientes;Total;5.540
León;Madre sóla con hijos convivientes;0 hijos conviviendo;0
León;Madre sóla con hijos convivientes;1 hijo conviviendo;17.049
León;Madre sóla con hijos convivientes;2 o más hijos conviviendo;3.300
León;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;11.510
León;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;7.108
León;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.732
León;Madre sóla con hijos convivientes;Total;20.350
Lleida;Total;0 hijos conviviendo;41.067
Lleida;Total;1 hijo conviviendo;46.886
Lleida;Total;2 o más hijos conviviendo;37.598
Lleida;Total;0 hijos conviviendo menores de 25 años;61.393
Lleida;Total;1 hijo conviviendo menor de 25 años;31.793
Lleida;Total;2 hijos o más conviviendo menores de 25 años;32.366
Lleida;Total;Total;125.552
Lleida;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;32.315
Lleida;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;24.696
Lleida;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;26.399
Lleida;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;42.082
Lleida;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;18.333
Lleida;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;22.995
Lleida;Pareja casada, con o sin hijos convivientes;Total;83.410
Lleida;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;8.752
Lleida;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;3.894
Lleida;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;3.527
Lleida;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;9.040
Lleida;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;3.795
Lleida;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;3.339
Lleida;Pareja no casada, con o sin hijos convivientes;Total;16.174
Lleida;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Lleida;Padre sólo con hijos convivientes;1 hijo conviviendo;4.490
Lleida;Padre sólo con hijos convivientes;2 o más hijos conviviendo;2.212
Lleida;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;2.452
Lleida;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;2.421
Lleida;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.830
Lleida;Padre sólo con hijos convivientes;Total;6.702
Lleida;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Lleida;Madre sóla con hijos convivientes;1 hijo conviviendo;13.806
Lleida;Madre sóla con hijos convivientes;2 o más hijos conviviendo;5.460
Lleida;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;7.819
Lleida;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;7.244
Lleida;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.202
Lleida;Madre sóla con hijos convivientes;Total;19.266
Lugo;Total;0 hijos conviviendo;35.020
Lugo;Total;1 hijo conviviendo;41.934
Lugo;Total;2 o más hijos conviviendo;19.874
Lugo;Total;0 hijos conviviendo menores de 25 años;60.275
Lugo;Total;1 hijo conviviendo menor de 25 años;22.934
Lugo;Total;2 hijos o más conviviendo menores de 25 años;13.618
Lugo;Total;Total;96.827
Lugo;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;30.607
Lugo;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;23.759
Lugo;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;15.103
Lugo;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;43.952
Lugo;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;14.964
Lugo;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;10.553
Lugo;Pareja casada, con o sin hijos convivientes;Total;69.469
Lugo;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;4.413
Lugo;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;2.485
Lugo;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;1.377
Lugo;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;4.630
Lugo;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;2.363
Lugo;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.281
Lugo;Pareja no casada, con o sin hijos convivientes;Total;8.274
Lugo;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Lugo;Padre sólo con hijos convivientes;1 hijo conviviendo;2.543
Lugo;Padre sólo con hijos convivientes;2 o más hijos conviviendo;892
Lugo;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;1.723
Lugo;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;1.053
Lugo;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;659
Lugo;Padre sólo con hijos convivientes;Total;3.435
Lugo;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Lugo;Madre sóla con hijos convivientes;1 hijo conviviendo;13.148
Lugo;Madre sóla con hijos convivientes;2 o más hijos conviviendo;2.502
Lugo;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;9.970
Lugo;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;4.554
Lugo;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.126
Lugo;Madre sóla con hijos convivientes;Total;15.649
Madrid;Total;0 hijos conviviendo;634.792
Madrid;Total;1 hijo conviviendo;673.929
Madrid;Total;2 o más hijos conviviendo;626.385
Madrid;Total;0 hijos conviviendo menores de 25 años;961.321
Madrid;Total;1 hijo conviviendo menor de 25 años;466.416
Madrid;Total;2 hijos o más conviviendo menores de 25 años;507.368
Madrid;Total;Total;1.935.105
Madrid;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;476.065
Madrid;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;370.763
Madrid;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;466.104
Madrid;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;655.773
Madrid;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;269.414
Madrid;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;387.745
Madrid;Pareja casada, con o sin hijos convivientes;Total;1.312.932
Madrid;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;158.727
Madrid;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;70.769
Madrid;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;59.015
Madrid;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;164.095
Madrid;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;68.167
Madrid;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;56.248
Madrid;Pareja no casada, con o sin hijos convivientes;Total;288.511
Madrid;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Madrid;Padre sólo con hijos convivientes;1 hijo conviviendo;42.235
Madrid;Padre sólo con hijos convivientes;2 o más hijos conviviendo;19.870
Madrid;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;25.967
Madrid;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;25.235
Madrid;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;10.903
Madrid;Padre sólo con hijos convivientes;Total;62.105
Madrid;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Madrid;Madre sóla con hijos convivientes;1 hijo conviviendo;190.162
Madrid;Madre sóla con hijos convivientes;2 o más hijos conviviendo;81.396
Madrid;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;115.486
Madrid;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;103.599
Madrid;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;52.472
Madrid;Madre sóla con hijos convivientes;Total;271.558
Málaga;Total;0 hijos conviviendo;156.887
Málaga;Total;1 hijo conviviendo;169.644
Málaga;Total;2 o más hijos conviviendo;167.187
Málaga;Total;0 hijos conviviendo menores de 25 años;250.832
Málaga;Total;1 hijo conviviendo menor de 25 años;112.117
Málaga;Total;2 hijos o más conviviendo menores de 25 años;130.770
Málaga;Total;Total;493.719
Málaga;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;120.284
Málaga;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;95.207
Málaga;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;119.887
Málaga;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;172.860
Málaga;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;67.026
Málaga;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;95.493
Málaga;Pareja casada, con o sin hijos convivientes;Total;335.378
Málaga;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;36.603
Málaga;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;17.236
Málaga;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;13.684
Málaga;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;37.428
Málaga;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;16.726
Málaga;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;13.370
Málaga;Pareja no casada, con o sin hijos convivientes;Total;67.524
Málaga;Padre sólo con hijos convivientes;0 hijos conviviendo;0
