"A�o";"Mes";"Castilla-La Mancha";"Espa�a";"Albacete";"Ciudad Real";"Cuenca";"Guadalajara";"Toledo"
"2007";" Enero";386899.8640000001;"-";70056.62300000001;116470.885;27348.231;49582.334;123441.791
"2007";" Febrero";345690.033;"-";63723.861;69915.849;33273;31047.996;147729.327
"2007";" Marzo";386768.922;"-";61721.769;115754.228;29107.898;45710.519;134474.508
"2007";" Abril";292067.844;"-";60507.29100000001;55149.938;28717.198;26949.999;120743.418
"2007";" Mayo";308447.925;"-";54743.542;89144.727;27476.829;42690.854;94391.973
"2007";" Junio";198135.771;"-";37755.924;40236.039;16830.912;21010.323;82302.573
"2007";" Julio";226981.454;"-";40773.244;61041.58;18335.34;30993.02;75838.27
"2007";" Agosto";197179.822;"-";37411.363;38630.181;16109.468;24532.151;80496.659
"2007";" Septiembre";209499.098;"-";36625.27;64110.59;14941.656;25329.657;68491.925
"2007";" Octubre";214031.079;"-";35665.977;39612.44;17660.525;32356.658;88735.47900000001
"2007";" Noviembre";271050.474;"-";48944.789;73350.57000000001;19036.863;35889.088;93829.164
"2007";" Diciembre";238016.601;"-";40940.595;51111.288;21549.779;24892.045;99522.894
"2008";"Total";3457778.562;"-";615966.782;863548.7999999999;284207.575;410866.2250000001;1283189.18
"2008";" Enero";416444.677;"-";72242.136;126123.825;34285.469;48513.59400000001;135279.653
"2008";" Febrero";380638.526;"-";75305.167;73630.736;32818.992;38159.492;160724.139
"2008";" Marzo";345621.431;"-";56777.399;101177.963;27557.382;40556.496;119552.191
"2008";" Abril";336743.735;"-";68809.071;70748.04700000001;31301.852;31778.247;134106.518
"2008";" Mayo";303395.627;"-";52655.904;82433.234;25835.409;44796.545;97674.535
"2008";" Junio";206016.863;"-";40528.187;39211.611;19789.278;24029.837;82457.95
"2008";" Julio";232867.714;"-";37016.337;64151.58;17485.597;31789.102;82425.098
"2008";" Agosto";191515.611;"-";38966.419;39443.153;15714.149;21707.796;75684.094
"2008";" Septiembre";233481.76;"-";34776.782;67406.904;17345.925;30014.152;83937.997
"2008";" Octubre";216740.332;"-";43537.9;38843.488;17093.447;33157.547;84107.95
"2008";" Noviembre";258181.043;"-";43830.137;72927.30900000001;21294.298;30636.64;89492.659
"2008";" Diciembre";336131.243;"-";51521.343;87450.95;23685.777;35726.777;137746.396
"2009";"Total";3345796.369;"-";630892.071;786474.821;278760.1820000001;406236.262;1243433.033
"2009";" Enero";450736.234;"-";88453.192;111455.913;36876.639;53211.011;160739.479
"2009";" Febrero";395485.842;"-";70288.825;93977.06;33343.259;42077.119;155799.579
"2009";" Marzo";361161.946;"-";62699.169;92038.62700000001;32849.832;40841.107;132733.211
"2009";" Abril";291291.226;"-";51699.291;76103.01;25114.32;33524.114;104850.491
"2009";" Mayo";248311.648;"-";45858.946;57964.454;22255.059;33368.574;88864.61500000001
"2009";" Junio";218324.88;"-";45134.74;46657.628;19118.458;28051.233;79362.821
"2009";" Julio";182343.629;"-";45327.757;27549.302;16492.037;22165.758;70808.77500000001
"2009";" Agosto";245567.423;"-";46114.889;59483.483;18262.277;31196.119;90510.655
"2009";" Septiembre";235912.997;"-";39958.087;56153.337;17946.849;30562.93;91291.79400000001
"2009";" Octubre";225603.022;"-";42200.508;51665.566;17831.51;29531.311;84374.12700000001
"2009";" Noviembre";218129.265;"-";41171.12;50442.574;16167.094;28907.794;81440.68300000001
"2009";" Diciembre";272928.257;"-";51985.547;62983.867;22502.848;32799.192;102656.803
"2010";"Total";3394687.366;"-";610104.822;827852.4269999999;276631.901;413288.474;1266809.742
"2010";" Enero";364808.08;"-";69257.402;85657.931;31399.941;46413.58;132079.226
"2010";" Febrero";389986.549;"-";68723.463;100086.033;31074.808;39195.038;150907.207
"2010";" Marzo";380857.297;"-";68667.292;98213.761;33321.161;43581.192;137073.891
"2010";" Abril";273190.02;"-";61147.763;51858.038;29239.266;38201.49;92743.463
"2010";" Mayo";272725.034;"-";43890.117;69094.356;20408.285;32800.857;106531.419
"2010";" Junio";256565.071;"-";39910.932;72564.707;17359.192;27305.712;99424.52800000001
"2010";" Julio";219782.626;"-";39730.679;56503.444;15983.186;31311.057;76254.26
"2010";" Agosto";221799.794;"-";40850.593;49547.812;16496.597;26196.824;88707.96800000001
"2010";" Septiembre";250056.542;"-";38090.001;65607.74000000001;17365.815;32238.209;96754.777
"2010";" Octubre";217904.702;"-";37735.57;50790.181;17627.216;27669.578;84082.15700000001
"2010";" Noviembre";253147.014;"-";48060.013;62406.317;21079.169;31992.591;89608.924
